Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
1,-9022095600.0,-7247273200.0,-110987000.0,-3372660300.0,-14208577000.0,-3842613800.0,-46705321000.0,-606039380000.0,-4635289000.0,-5625435600.0,-336533830.0,-942594420.0,-562156390.0,-909791130.0,-719372030.0,-977797930.0,-41124112000.0,-47844783000.0,-43394338000.0,-987898960.0,16.0,13.0,10.0,17.0,-189481030.0,7.0,-516048310.0,-821917600.0,-390360890.0,13.0,-385361370.0,-88111630.0,-433456570.0,-841915690.0,-655334360.0,-865413370.0,-7919207400.0,-37836213000.0,-9278071500.0,75.0
2,-689928900.0,-874117600.0,-1752822800.0,-4546543000.0,-14358561000.0,-4999498200.0,-46015392000.0,-465553430000.0,-41905803000.0,-7108287200.0,-106.0,-101.0,-115.0,-92.0,-539254000.0,-99.0,-9829982700.0,-5756575300.0,-1533153000.0,-102.0,-5.0,-4.0,-6.0,-3.0,-4.0,-5.0,-137861000.0,-1950804600.0,-1303869500.0,-5.0,-163883470.0,-866813170.0,-246075260.0,-214178410.0,-75523710.0,-250974770.0,-9706028400.0,-83051691000.0,-1319867000.0,-666533210.0
3,-1852812600.0,-9988999000.0,-2912706800.0,-5762421300.0,-15628435000.0,-6214376600.0,-4089585000.0,-411358850000.0,-9740209000.0,-8201177900.0,9137.3,-58.0,2143.4,-53.0,-193719410.0,-49.0,-391539100.0,-750174990.0,-388038700.0,-7466.7,-21.0,-19.0,-17.0,-22.0,-291029110.0,-12.0,-335966400.0,-571342840.0,-165983410.0,-19.0,-923107560.0,-534946380.0,-995900300.0,-704429410.0,-913308530.0,-736426240.0,-7089290100.0,-83201676000.0,-8594139600.0,-478352050.0
4,-2689728900.0,-976900200.0,-3761621900.0,-7050292500.0,-17498248000.0,-7508247200.0,-10388955000.0,-383561640000.0,-3619632000.0,-8913106800.0,0.0,1.0,-9.0,9.0,-10.0,4.0,-8300829800.0,-501495000.0,-8620861800.0,-1.0,-232.38,-1024.2,-255.92,-2770.8,-6057.5,0.6999999999998181,1.0,-318631820.0,0.0,171.63,-675732320.0,-163283570.0,-73925820.0,-83191560.0,-816318250.0,-788930.0,-2457753300.0,-75812415000.0,-3882610700.0,-356664230.0
5,-265726500.0,-885909300.0,-3774620600.0,-6736323900.0,-16758322000.0,-7188279200.0,-6419352000.0,-46253600000.0,-9993000.0,-9001097900.0,-14185660.0,-389461000.0,-167783180.0,-869512980.0,-806919260.0,-878012140.0,-8353834600.0,-5365350000.0,-8234822800.0,42.0,26.0,24.0,21.0,27.0,-496350330.0,16.0,-859285860.0,-7074707300.0,-73172770.0,22.0,-966003270.0,-570542820.0,-41595730.0,-719927850.0,-890810780.0,-752224670.0,-329966000.0,-91010895000.0,-1879811000.0,-5245900.0
6,-2766721200.0,-81909700.0,-376615700.0,-6617335900.0,-16398358000.0,-7066291500.0,-18838110000.0,-574942490000.0,-13598634000.0,-9080090000.0,24.0,25.0,18.0,30.0,-121987780.0,28.0,-3900389000.0,-21642162000.0,-3820381000.0,24.0,7867.1,4.0,8179.9,5.0,3.0,4.0,-450044800.0,-728072300.0,-447044500.0,8233.3,-182481610.0,-878611990.0,-26373300.0,-208478980.0,-723827460.0,-245075360.0,-259730000.0,-95490447000.0,-4339565000.0,-67632090.0
7,-2997698000.0,-1161881800.0,-4061591900.0,-692297400.0,-16998298000.0,-7453252700.0,-31376856000.0,-636436340000.0,-27387255000.0,-9289069200.0,-13.0,-8.0,-12.0,-8.0,-6005910.0,3.0,-5237523000.0,-76207619000.0,-5320531200.0,-4258.0,-23.0,-19.0,-18.0,-23.0,-360536060.0,-12.0,-517515100.0,-5761575600.0,-5289528700.0,-19.0,-48295030.0,-678032070.0,-127187160.0,-874712370.0,-136486210.0,-908309040.0,-5065492400.0,-80621934000.0,-661329000.0,-626937180.0
8,-3392658600.0,-1705827300.0,-4469551100.0,-7848212700.0,-18428155000.0,-8307167300.0,-32926701000.0,-630436940000.0,-29267068000.0,-9590039000.0,-1356.1,-2739.2,-1467.7,6.0,-2.0,-5953.3,-51805150.0,-508150760.0,-40003980.0,1331.0,-3574.7,-5234.0,-3703.8,-8538.2,-2.0,-8614.2,-21821700.0,-393939370.0,-226022590.0,-1803.2,-735726310.0,-230576830.0,-803919510.0,-159883880.0,-912208670.0,-187181180.0,-4397559400.0,-5973990000.0,-5925406500.0,-454554440.0
9,-3046693200.0,-1231874800.0,-4111586900.0,-7117285800.0,-17198278000.0,-7570241000.0,-34956498000.0,-634036590000.0,-30996894000.0,-9333064700.0,23.0,22.0,14.0,29.0,-208379130.0,18.0,-4509548200.0,-7322660000.0,-456535000.0,25.0,23.0,20.0,18.0,25.0,-365763390.0,13.0,-5013498400.0,-5202479200.0,-5156484100.0,20.0,-1299740.0,-609438930.0,-78492030.0,-763423510.0,-943505510.0,-796020280.0,-3522646800.0,-77732223000.0,-5143484700.0,-603239560.0
10,-2778720000.0,-899907900.0,-3836614400.0,-6650332600.0,-16458352000.0,-7099288100.0,-24087585000.0,-578642130000.0,-138100000.0,-9106087500.0,-6.0,-2.0,-9.0,0.0,-3.0,1.0,-7919207000.0,-257200000.0,-7909208000.0,5.0,-111.459,1185.1,-402.76800000000003,3852.7,8981.9,3898.2,-2811718600.0,-4872512200.0,-2838715900.0,-3326.0,-185581300.0,-882011660.0,-268972980.0,-212278600.0,-728826960.0,-248974970.0,-2559743000.0,-95190477000.0,-4209578000.0,-68231490.0
