epoch,train_loss,val_loss,val_acc,val_f1_macro
1,1.7975200812021892,1.7911179860432942,0.16666666666666666,0.047619047619047616
2,1.7985163529713948,1.7884469429651897,0.16666666666666666,0.047619047619047616
3,1.789627989133199,1.7859910726547241,0.16666666666666666,0.047619047619047616
4,1.7851157718234592,1.7765007019042969,0.16666666666666666,0.047619047619047616
5,1.777370320426093,1.7587463855743408,0.3333333333333333,0.21746031746031744
6,1.7439284457100763,1.702139178911845,0.3333333333333333,0.1693121693121693
7,1.6564468542734783,1.5667245388031006,0.4166666666666667,0.2896825396825397
8,1.4831415017445881,1.4341114362080891,0.4166666666666667,0.38095238095238093
9,1.3685040341483221,1.3247228066126506,0.4166666666666667,0.29523809523809524
10,1.4172228707207575,1.27557369073232,0.4166666666666667,0.2738095238095238
11,1.287187033229404,1.4270095030466716,0.25,0.242063492063492
12,1.3158058325449626,1.2310590744018555,0.3333333333333333,0.25396825396825395
13,1.2443299028608534,1.2148354053497314,0.4166666666666667,0.35634920634920636
14,1.1531918048858643,1.2388842105865479,0.25,0.21428571428571427
15,1.0903102027045355,1.1167187293370564,0.5,0.47222222222222215
16,1.0807889699935913,1.0812443097432454,0.5,0.42857142857142855
17,1.0842246545685663,1.123912771542867,0.4166666666666667,0.38095238095238093
18,1.0694145030445523,1.0278831919034321,0.5,0.4166666666666667
19,1.0704658693737454,1.109983245531718,0.5,0.4587301587301587
20,0.9886055125130547,1.1073086261749268,0.5,0.48412698412698413
21,0.9661691784858704,1.017660140991211,0.4166666666666667,0.38888888888888884
22,0.9568283690346612,0.9849867423375448,0.5,0.42857142857142855
23,0.9112025764253404,1.1461838881174724,0.3333333333333333,0.3531746031746031
24,0.9136874145931668,1.0117297172546387,0.5,0.42857142857142855
25,0.9009879959954156,0.9883532921473185,0.4166666666666667,0.38095238095238093
26,0.8882865707079569,0.9792277415593466,0.5,0.42857142857142855
27,0.9177109003067017,1.2194580634435017,0.3333333333333333,0.3531746031746031
28,0.9325767821735806,1.4393348296483357,0.25,0.21428571428571427
29,1.0184666183259752,0.952767014503479,0.5,0.42857142857142855
30,0.8895388510492113,0.9756642977396647,0.6666666666666666,0.611111111111111
31,0.8633436626858182,1.2054112752278645,0.3333333333333333,0.3531746031746032
32,0.8156453900867038,0.9744190375010172,0.5,0.4587301587301587
33,0.8563882774776883,1.1509974002838135,0.25,0.2222222222222222
34,0.8918422328101264,1.1058260202407837,0.5,0.48412698412698413
35,0.8338942660225762,0.9686191082000732,0.5,0.4666666666666666
36,0.7616286675135294,0.8796336054801941,0.75,0.6777777777777777
37,0.7517393430074056,1.4044794241587322,0.3333333333333333,0.3611111111111111
38,0.8254720502429538,1.0219696362813313,0.5,0.5
39,0.9025450017717149,0.9058104753494263,0.5,0.42857142857142855
40,0.8189741969108582,0.9436218937238058,0.5833333333333334,0.5499999999999999
41,0.778110557132297,0.9408030907313029,0.5,0.4587301587301587
42,0.7486656407515208,0.8086973230044047,0.6666666666666666,0.6055555555555555
43,0.8309838639365302,1.0482229789098103,0.5,0.47222222222222215
44,0.7088357905546824,0.879368245601654,0.6666666666666666,0.6174603174603174
45,0.7926147712601556,0.8757563829421997,0.6666666666666666,0.6055555555555555
46,0.7595502336819967,0.8166027665138245,0.75,0.7388888888888889
47,0.6699172457059225,0.8784896532694498,0.5833333333333334,0.5499999999999999
48,0.7158325132396486,0.7753291527430216,0.6666666666666666,0.6055555555555555
49,0.6187146835856967,0.7635624210039774,0.75,0.7388888888888889
50,0.6592914793226454,0.9943016767501831,0.5,0.4666666666666666
51,0.7014350725544823,1.5176592270533245,0.5833333333333334,0.5952380952380952
52,0.7599808937973447,0.8485593398412069,0.5,0.49999999999999994
53,0.7527314457628462,0.8671259085337321,0.5,0.47222222222222215
54,0.7562506463792589,1.494871695836385,0.3333333333333333,0.3611111111111111
55,0.7138586805926429,1.3107320070266724,0.5833333333333334,0.5833333333333334
56,0.7995882348881828,1.1426002979278564,0.4166666666666667,0.38888888888888884
57,0.747317201561398,0.7315688530604044,0.5833333333333334,0.5222222222222223
58,0.8886888358328078,0.8885947465896606,0.5833333333333334,0.5499999999999999
59,0.7446917295455933,1.2355733315149944,0.4166666666666667,0.38888888888888884
60,0.6896380583445231,1.19752836227417,0.5,0.4666666666666666
61,0.7335536215040419,0.7527027527491251,0.5833333333333334,0.5222222222222223
62,0.7878070937262641,1.4405250549316406,0.3333333333333333,0.3611111111111111
63,0.6783017350567712,0.8343990643819174,0.6666666666666666,0.6722222222222222
64,0.6694494287172953,0.7718553145726522,0.6666666666666666,0.6174603174603175
65,0.5900350477960374,0.7657230496406555,0.6666666666666666,0.6722222222222222
66,0.5003010895517137,0.831324021021525,0.75,0.7388888888888889
67,0.584607160753674,0.9053596258163452,0.5833333333333334,0.5777777777777777
68,0.5638042158550687,0.7991769711176554,0.75,0.7388888888888889
69,0.5387538108560774,0.9101365407307943,0.75,0.7388888888888889
70,0.49032219913270736,0.8908952077229818,0.75,0.7444444444444445
71,0.512886279159122,0.8232414325078329,0.6666666666666666,0.6611111111111111
72,0.47851774593194324,0.8291347821553549,0.75,0.7444444444444445
73,0.5207275615798103,0.8901078303654989,0.75,0.7444444444444444
74,0.6563510596752167,1.861377477645874,0.4166666666666667,0.42777777777777776
75,0.5779322932163874,0.5489556988080343,0.8333333333333334,0.8222222222222223
76,0.49633508258395725,0.756502628326416,0.75,0.7388888888888889
77,0.5340706275569068,1.515057643254598,0.5,0.4666666666666666
78,0.6545291923814349,0.6219727396965027,0.75,0.7444444444444445
79,0.5652986450327767,0.6421741843223572,0.6666666666666666,0.6666666666666666
80,0.7447729408740997,1.7629597187042236,0.3333333333333333,0.3611111111111111
