idx,model,st_dim,st_heads,st_inds,st_isab,st_seeds,st_use_k_norm,dropout,lr,wd,batch_size,epochs,hidden,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std
3,settransformer,32,2,16,1,1,True,0.0,0.0005,0.0,4,60,128,0.8333333333333334,0.0,0.8222222222222223,1.2819751242557092e-16,0.8333333333333334,0.06804138174397716,0.825925925925926,0.06809176411426011
24,settransformer,64,4,32,1,1,True,0.1,0.0005,0.0001,4,60,128,0.75,0.0,0.7481481481481481,0.005237828008789222,0.8055555555555557,0.039283710065919325,0.7981481481481482,0.03804192330402616
17,settransformer,64,4,32,1,1,True,0.0,0.0003,0.0,4,60,128,0.8333333333333334,0.06804138174397716,0.824074074074074,0.07032162054091674,0.7777777777777778,0.039283710065919325,0.7685185185185186,0.041902624070313935
8,settransformer,32,2,16,1,1,True,0.1,0.0005,0.0001,4,60,128,0.7777777777777778,0.039283710065919325,0.7703703703703703,0.036664796061524604,0.7777777777777778,0.039283710065919325,0.7685185185185186,0.038041923304026226
15,settransformer,48,3,32,1,1,True,0.1,0.0005,0.0,4,60,128,0.8055555555555557,0.039283710065919325,0.7962962962962963,0.03666479606152466,0.7777777777777778,0.039283710065919325,0.7666666666666666,0.039283710065919374
18,settransformer,64,4,32,1,1,True,0.0,0.0003,0.0001,4,60,128,0.8055555555555557,0.039283710065919325,0.7944444444444444,0.03928371006591927,0.75,0.0680413817439772,0.7462962962962963,0.061251242253856454
20,settransformer,64,4,32,1,1,True,0.0,0.0005,0.0001,4,60,128,0.8055555555555557,0.039283710065919325,0.7962962962962964,0.036664796061524715,0.75,0.0680413817439772,0.7407407407407406,0.07513134361148434
2,settransformer,32,2,16,1,1,True,0.0,0.0003,0.0001,4,60,128,0.8055555555555557,0.039283710065919325,0.7962962962962963,0.03666479606152466,0.75,0.11785113019775792,0.7370370370370369,0.12047004420215258
4,settransformer,32,2,16,1,1,True,0.0,0.0005,0.0001,4,60,128,0.75,0.0,0.7444444444444445,0.0,0.75,0.0680413817439772,0.7351851851851853,0.07262470944862068
9,settransformer,48,3,32,1,1,True,0.0,0.0003,0.0,4,60,128,0.8333333333333334,0.0,0.8222222222222223,1.2819751242557092e-16,0.75,0.0680413817439772,0.7333333333333334,0.07751277606094949
23,settransformer,64,4,32,1,1,True,0.1,0.0005,0.0,4,60,128,0.7777777777777778,0.039283710065919325,0.7685185185185185,0.038041923304026094,0.7222222222222222,0.07856742013183865,0.7277777777777777,0.07467350056909616
21,settransformer,64,4,32,1,1,True,0.1,0.0003,0.0,4,60,128,0.8055555555555557,0.039283710065919325,0.7962962962962963,0.03666479606152466,0.75,0.0,0.7240740740740742,0.02498284733931856
7,settransformer,32,2,16,1,1,True,0.1,0.0005,0.0,4,60,128,0.75,0.0,0.7484126984126984,0.009806218514735753,0.7222222222222222,0.039283710065919325,0.7222222222222222,0.031426968052735496
10,settransformer,48,3,32,1,1,True,0.0,0.0003,0.0001,4,60,128,0.8333333333333334,0.0,0.8222222222222223,1.2819751242557092e-16,0.75,0.0680413817439772,0.7185185185185184,0.09409885937712965
22,settransformer,64,4,32,1,1,True,0.1,0.0003,0.0001,4,60,128,0.75,0.0,0.7444444444444445,0.0,0.7222222222222222,0.039283710065919325,0.7166666666666667,0.031426968052735496
13,settransformer,48,3,32,1,1,True,0.1,0.0003,0.0,4,60,128,0.8333333333333334,0.06804138174397716,0.8259259259259258,0.06809176411426011,0.7222222222222222,0.039283710065919325,0.7166666666666667,0.03142696805273547
11,settransformer,48,3,32,1,1,True,0.0,0.0005,0.0,4,60,128,0.7777777777777778,0.039283710065919325,0.7740740740740741,0.041902624070313935,0.75,0.11785113019775792,0.7113756613756613,0.1413178881099135
14,settransformer,48,3,32,1,1,True,0.1,0.0003,0.0001,4,60,128,0.7777777777777778,0.039283710065919325,0.7703703703703703,0.036664796061524604,0.6944444444444443,0.039283710065919325,0.6962962962962962,0.0340458820571301
12,settransformer,48,3,32,1,1,True,0.0,0.0005,0.0001,4,60,128,0.75,0.0,0.7502645502645503,0.008230872585240207,0.6944444444444443,0.039283710065919325,0.6907407407407407,0.038041923304026205
6,settransformer,32,2,16,1,1,True,0.1,0.0003,0.0001,4,60,128,0.7777777777777778,0.039283710065919325,0.7703703703703703,0.036664796061524604,0.6944444444444443,0.039283710065919325,0.687037037037037,0.04214743213607793
5,settransformer,32,2,16,1,1,True,0.1,0.0003,0.0,4,60,128,0.7777777777777778,0.039283710065919325,0.7685185185185186,0.038041923304026205,0.6944444444444443,0.039283710065919325,0.687037037037037,0.04214743213607793
1,settransformer,32,2,16,1,1,True,0.0,0.0003,0.0,4,60,128,0.8055555555555557,0.039283710065919325,0.7962962962962964,0.036664796061524715,0.6944444444444445,0.0785674201318386,0.6666666666666665,0.07425902835467935
19,settransformer,64,4,32,1,1,True,0.0,0.0005,0.0,4,60,128,0.75,0.0,0.7462962962962963,0.002618914004394611,0.6666666666666666,0.06804138174397716,0.6592592592592593,0.06436350813697317
16,settransformer,48,3,32,1,1,True,0.1,0.0005,0.0001,4,60,128,0.75,0.0,0.7444444444444445,0.0,0.6111111111111112,0.03928371006591927,0.5944444444444444,0.05574043312330524
