epoch,train_loss,val_loss,val_acc,val_f1_macro
1,1.801191462410821,1.7897242705027263,0.3333333333333333,0.1693121693121693
2,1.7947536442014906,1.7880992889404297,0.16666666666666666,0.047619047619047616
3,1.7900503079096477,1.7843618392944336,0.3333333333333333,0.16666666666666666
4,1.7816594309277005,1.773510257403056,0.3333333333333333,0.1693121693121693
5,1.7662226888868544,1.7383100986480713,0.3333333333333333,0.16666666666666666
6,1.7187751399146185,1.6415488322575886,0.3333333333333333,0.1693121693121693
7,1.592581762207879,1.4341694116592407,0.5,0.41111111111111115
8,1.4386114279429119,1.2337054014205933,0.5,0.36190476190476195
9,1.3521802557839289,1.1384718418121338,0.75,0.6888888888888888
10,1.2986618545320299,1.0573554039001465,0.75,0.6888888888888888
11,1.1751950581868489,0.9722893238067627,0.75,0.6888888888888888
12,1.2216976483662922,0.9842270612716675,0.6666666666666666,0.611111111111111
13,1.2173164354430304,1.1065209309260051,0.25,0.16666666666666666
14,1.1878242625130548,0.9524040619532267,0.4166666666666667,0.31666666666666665
15,1.1446288625399272,0.8470588525136312,0.75,0.6888888888888888
16,1.0570337971051533,0.8849980036417643,0.75,0.6888888888888888
17,1.0751920077535841,0.8314884106318156,0.75,0.6888888888888888
18,1.0519355800416734,0.8628048499425253,0.6666666666666666,0.6230158730158729
19,1.1007583538691204,0.7669072945912679,0.5833333333333334,0.4944444444444444
20,1.0336053901248508,0.8878389199574789,0.4166666666666667,0.2920634920634921
21,1.0607708427641127,0.7743303775787354,0.75,0.6888888888888888
22,1.0754071209165785,0.8114312489827474,0.75,0.6888888888888888
23,0.9718251162105136,0.7816317876180013,0.6666666666666666,0.6174603174603175
24,0.9945799575911628,1.083027442296346,0.4166666666666667,0.3119047619047619
25,1.1657466093699138,0.8168948491414388,0.75,0.6888888888888888
26,1.0357858207490709,0.7672719160715739,0.6666666666666666,0.6174603174603174
27,0.9548059834374322,0.781960686047872,0.75,0.6888888888888888
28,0.999001940091451,0.765256404876709,0.5833333333333334,0.49444444444444446
29,0.9742230971654257,0.7745580673217773,0.75,0.6888888888888888
30,0.9834073914421929,0.6849002440770467,0.6666666666666666,0.6174603174603174
31,0.8892663915952047,0.7463040947914124,0.5833333333333334,0.5063492063492063
32,0.9584643608993955,0.66726020971934,0.5833333333333334,0.5063492063492063
33,0.9256855315632291,0.7445975144704183,0.75,0.7063492063492062
34,0.8629694117440118,0.6698806683222452,0.75,0.7222222222222222
35,0.863407764169905,0.6646170218785604,0.75,0.7222222222222222
36,0.8286967873573303,0.6414178609848022,0.75,0.7222222222222222
37,0.8995503120952182,0.5853273669878641,0.75,0.6888888888888888
38,0.7993592354986403,0.589510957400004,0.75,0.6888888888888888
39,0.8575518296824561,0.7076688607533773,0.6666666666666666,0.6388888888888888
40,0.9413046638170878,0.6746668020884196,0.75,0.6888888888888888
41,0.9068587687280443,0.6115821599960327,0.75,0.6888888888888888
42,0.8193323612213135,0.6500652035077413,0.75,0.7611111111111111
43,0.8650764226913452,0.5844371318817139,0.8333333333333334,0.7777777777777777
44,0.8805796106656393,0.626599907875061,0.75,0.7063492063492062
45,0.8324321111043295,0.5616811513900757,0.75,0.6888888888888888
46,0.7809043129285177,0.5382486581802368,0.8333333333333334,0.7777777777777777
47,0.8492644528547922,0.680125872294108,0.75,0.7063492063492062
48,0.8903026978174845,0.512731929620107,0.9166666666666666,0.9111111111111111
49,0.8066995508140988,0.5784916679064432,0.75,0.7222222222222222
50,0.6891486611631181,0.6256791949272156,0.75,0.7222222222222222
