n_events,mean,std,min,p01,p50,p99,max,split,n_files
163567,3.1138128900868747e-16,1.0,-1.8050221675551157,-1.2909130052766533,-0.42849426509271127,2.2158921994036778,4.068508337558697,train,72
27065,-0.12955990586775765,0.9856895302512451,-1.6780641915682581,-1.6147626457488422,-0.5141845046770555,2.413201303411397,3.5357423264445806,val,12
26533,-0.0880758570623626,0.9261476774132613,-1.5929356814202331,-1.5520661982850972,-0.3587705281029913,1.5383917012207375,3.43575801341824,test,12
