rank,node_number,x_n,y_n,z_n,t_n,score
1,12183,0.375,0.6875,0.7059462715335502,0.8275862068965517,13321.739979639779
2,11475,0.3625,0.69659375,0.7551740754126008,0.8275862068965517,13289.395315288943
3,13191,0.625,0.6875,0.7059462715335502,0.8275862068965517,13230.097145862404
4,12483,0.6125,0.69659375,0.7551740754126008,0.8275862068965517,13173.493949552852
5,13185,0.625,0.69659375,0.7551740754126008,0.8275862068965517,13158.669508282983
6,12177,0.375,0.69659375,0.7551740754126008,0.8275862068965517,13103.414270270154
7,12648,0.6125,0.9375,0.62643055053608,0.9655172413793103,13084.890643511726
8,12648,0.6125,0.9375,0.62643055053608,0.6896551724137931,12944.956571791225
9,12647,0.6125,0.9375,0.6508384531984098,0.8275862068965517,12862.179200279701
10,12646,0.6125,0.9375,0.6752463558607397,0.8275862068965517,12794.793281072825
11,13485,0.8625,0.6875,0.7059462715335502,0.8275862068965517,12722.018359108437
12,10461,0.1125,0.6875,0.7059462715335502,0.8275862068965517,12705.846094324193
13,10467,0.1125,0.69659375,0.7551740754126008,0.8275862068965517,12615.551084061191
14,11640,0.3625,0.9375,0.62643055053608,0.9655172413793103,12596.206864477419
15,12016,0.375,0.9375,0.62643055053608,0.9655172413793103,12584.84212543011
16,11175,0.125,0.6875,0.7059462715335502,0.8275862068965517,12522.560561551798
17,14193,0.875,0.69659375,0.7551740754126008,0.8275862068965517,12496.954340861063
18,14032,0.875,0.9375,0.62643055053608,0.9655172413793103,12472.615185264483
19,11640,0.3625,0.9375,0.62643055053608,0.6896551724137931,12443.666780651467
20,12016,0.375,0.9375,0.62643055053608,0.6896551724137931,12436.422563629238
21,10632,0.1125,0.9375,0.62643055053608,0.9655172413793103,12414.371039720467
22,13024,0.625,0.9375,0.62643055053608,0.9655172413793103,12326.294170030375
23,14032,0.875,0.9375,0.62643055053608,0.6896551724137931,12320.517409608485
24,13656,0.8625,0.9375,0.62643055053608,0.9655172413793103,12265.208839724532
25,10632,0.1125,0.9375,0.62643055053608,0.6896551724137931,12262.564832598107
26,4385,0.6125,0.0625,0.7059462715335502,0.0,12244.01787878788
27,12013,0.375,0.9375,0.6508384531984098,0.8275862068965517,12186.987010755227
28,13024,0.625,0.9375,0.62643055053608,0.6896551724137931,12171.289523806763
29,13656,0.8625,0.9375,0.62643055053608,0.6896551724137931,12111.88827726706
30,12642,0.6125,0.934375,0.7059462715335502,0.9655172413793103,12083.37173630657
31,12642,0.6125,0.934375,0.7059462715335502,0.6896551724137931,12046.690903650726
32,4087,0.375,0.0625,0.7059462715335502,0.0,12022.827878787879
33,11008,0.125,0.9375,0.62643055053608,0.9655172413793103,11979.669629087435
