Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
20784,-47935195000.0,-55154464000.0,-48395147000.0,-585341360000.0,-931606700000.0,-588341060000.0,-72072699000.0,-84011499000.0,-7182688000.0,-61603746000.0,-33796616000.0,-26347353000.0,-33936602000.0,-31686800000.0,-22917665000.0,-31786792000.0,-45115461000.0,-48115160000.0,-45035469000.0,-42175756000.0,-4314432400.0,-3128311600.0,-4384440300.0,-38046185000.0,-63043680000.0,-3796174000.0,-308169210.0,28.0,-441556300.0,-721128570.0,-3847617000.0,-4365573600.0,-3730627500.0,-59215935000.0,-304330450000.0,-60616073000.0,-103995000.0,-7246281600.0,-478757470.0,-915013030.0
20785,-2607333000.0,-42425748000.0,-26577338000.0,-50754909000.0,-97120293000.0,-49745014000.0,-12868696000.0,-14908493000.0,-12388745000.0,-10048979000.0,-885889820.0,-227023250.0,-893091000.0,-7656231900.0,-755234400.0,-7534245000.0,-419645810.0,-464350400.0,-445148620.0,-472351400.0,-2902290100.0,-2233222400.0,-2896289500.0,-3105309800.0,-274268600.0,-3141313500.0,-3105310000.0,-278276300.0,-3113310800.0,-3463345900.0,-277371800.0,-450053900.0,-237575730.0,-936061100.0,-9516046600.0,-9296069300.0,-858212800.0,-627635830.0,-830315560.0,-28895670.0
20786,-359595000.0,-18528147000.0,-3909609000.0,-66903301000.0,-84421570000.0,-65753419000.0,-90940897000.0,-92590733000.0,-90400953000.0,-88311161000.0,-28437155000.0,-2907080000.0,-28407159000.0,-561938600.0,-3311322900.0,-30962300.0,-27977197000.0,-2817167000.0,-27857209000.0,-27497246000.0,-3843615600.0,-7310268400.0,-3833616800.0,-6374361300.0,-888386260.0,-6183380800.0,-640936500.0,-849915700.0,-567943800.0,-280972500.0,-970903000.0,-2573743300.0,-964903600.0,-3973397900.0,-6848685600.0,-409408600.0,-502450050.0,-671833170.0,-459854320.0,-24474990.0
20787,-73832616000.0,-92560764000.0,-73592638000.0,-78392149000.0,-13638590000.0,-79412048000.0,-56374343000.0,-59564026000.0,-55574423000.0,-51884791000.0,-2357631000.0,-21997802000.0,-23647634000.0,-1714830000.0,-114693900.0,-1698831300.0,-237495000.0,-25127481000.0,-24947499000.0,-24827511000.0,-2354764700.0,-6031396700.0,-2362764000.0,-1337865600.0,-4592538900.0,-1236876000.0,-8694132400.0,-8727129300.0,-8659136000.0,-8572144700.0,-464953500.0,-1054894900.0,-45953100.0,-3691631400.0,-8311169900.0,-3685632000.0,-853914730.0,-893310870.0,-84314930.0,-808519250.0
20788,-3259672000.0,-14588576000.0,-3079685000.0,-84171572000.0,-372662670000.0,-86321357000.0,-90470927000.0,-92480728000.0,-90080966000.0,-88051168000.0,-52394760000.0,-56074407000.0,-52244774000.0,-40264039000.0,-20772101000.0,-40964106000.0,-49265065000.0,-50814910000.0,-48895101000.0,-47135277000.0,-493504100.0,-2006802900.0,-4929507700.0,-9074909900.0,-79927996000.0,-9469949300.0,-878120500.0,-9710030700.0,-8612140200.0,-7542247000.0,-646334660.0,-754421020.0,-703629230.0,-14698526000.0,-9249068000.0,-15118485000.0,-509948900.0,-553844200.0,-5929900.0,-16820200.0
20789,-7192757000.0,-25017460000.0,-72882696000.0,-935306380000.0,-462353620000.0,-940105900000.0,-6849277000.0,-96280333000.0,-9848976000.0,-22277734000.0,-17398254000.0,-933037700.0,-17478245000.0,-57254253000.0,-758424120000.0,-58464132000.0,-31466836000.0,-28537127000.0,-32246757000.0,-35536429000.0,-8501145700.0,-388595500.0,-867124600.0,-30986896000.0,-93330660000.0,-3216758000.0,-9632029800.0,-6997293200.0,-203972500.0,-3398652800.0,-509154370.0,-759242250.0,-598062010.0,-67256734000.0,-274327450000.0,-68206827000.0,-2600264700.0,-128019100.0,-320324300.0,-5852589300.0
20790,-59354073000.0,-83311712000.0,-59924015000.0,-561543880000.0,-890610980000.0,-564343600000.0,-65433499000.0,-75312516000.0,-65543490000.0,-57204321000.0,-3703686000.0,-32883267000.0,-37043700000.0,-26542632000.0,-12341202000.0,-26562636000.0,-4444411000.0,-47404719000.0,-44244404000.0,-41284108000.0,-8421158700.0,-392956800.0,-8553146500.0,-37913785000.0,-64156403000.0,-38043800000.0,-814686960.0,-5458.0,-929698900.0,-129918970.0,-445551900.0,-6007395000.0,-4475553200.0,-60896076000.0,-305830560000.0,-62286216000.0,-697724430.0,-569421800.0,-53088910.0,5201.0
20791,-70202987000.0,-8671327000.0,-70112994000.0,-6199400000.0,-182081800000.0,-579373000.0,-49225095000.0,-47315291000.0,-48825136000.0,-50554962000.0,-33933389000.0,-36933678000.0,-33793376000.0,-781569890.0,-24617524000.0,-178410230.0,-29482942000.0,-29062899000.0,-29252920000.0,-29472941000.0,-2273225600.0,-3456341300.0,-2171215300.0,-1258872500.0,-8637134800.0,-1729825300.0,-80072600.0,-942090400.0,-576053700.0,-28020400.0,-785478230.0,-844844300.0,-816481130.0,-21817816000.0,-29177080000.0,-22237774000.0,-92505360.0,-263825010.0,-182279830.0,-497948200.0
20792,-71662836000.0,-86931334000.0,-7102846000.0,-57004311000.0,-36116374000.0,-56114399000.0,-52984705000.0,-51584848000.0,-52634740000.0,-53794624000.0,-29562954000.0,-2952933000.0,-29502947000.0,-24382433000.0,-21432135000.0,-24132408000.0,-2852838000.0,-27572753000.0,-28322829000.0,-29092906000.0,-4644463400.0,-394037800.0,-4558454500.0,-20542054000.0,-10641066000.0,-20372036000.0,-7243719700.0,-5684563600.0,-7204715900.0,-8695864900.0,-4539546000.0,-4290570200.0,-4486551400.0,-517946300.0,-891007440.0,-371961300.0,-4041595800.0,-3464653500.0,-3997600100.0,-4517548200.0
20793,-1208742000.0,-23767625000.0,-12508746000.0,-57444252000.0,-2129769000.0,-56704327000.0,-459946000.0,-409953000.0,-129978000.0,-69984000.0,-39253923000.0,-39903989000.0,-39173916000.0,-635628700.0,-6309635900.0,-5938594700.0,-37923790000.0,-37423740000.0,-37783776000.0,-38183817000.0,-6815681100.0,-4640463500.0,-6742673700.0,-8273827700.0,-8469848200.0,-8086808700.0,-8267826200.0,-7681767600.0,-8204819900.0,-8731872600.0,-9498890.0,-473045880.0,4.0,-7296268300.0,-779917800.0,-7229275300.0,-129587670.0,-757024870.0,-106489940.0,-45754570.0
