Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
1,-1869775700.0,-6568308200.0,-113838100.0,-9491028800.0,-2657745700.0,-927044300.0,-81861814000.0,-748625250000.0,-84561547000.0,-476467000.0,-342018000.0,-993081200.0,-615043300.0,-1790160900.0,-3418323600.0,-186166700.0,-39353924000.0,-44344429000.0,-41554138000.0,-79058100.0,-47.0,-4087.2,-46.0,-19.0,-5.0,-34.0,-665732630.0,-1289870500.0,-550043810.0,-65.0,-78995610.0,-604543410.0,-141189830.0,-493354420.0,-282775350.0,-517252130.0,-9989300.0,-56214400000.0,-1648846300.0,-4438.0
2,-1010847400.0,-3946551100.0,-89933800.0,-3305622500.0,-5913387400.0,-3012650800.0,-40895895000.0,-632136920000.0,-3975963000.0,-4695465100.0,-827772980.0,-122001310.0,-981187170.0,-430632160.0,-61995180.0,-466135560.0,-3108302000.0,-7672760100.0,-4759462200.0,-33791350.0,503.0,559.0,561.0,562.0,572.0,570.0,-1667832600.0,-2205778800.0,-1591839900.0,617.0,-783627410.0,-522354150.0,-884917990.0,-745031750.0,-221683980.0,-781228270.0,-11118895000.0,-779944000.0,-12838728000.0,-23283860.0
3,-2536690400.0,-5089430900.0,-1532784300.0,-3722573000.0,-3806584700.0,-3394604700.0,-71412831000.0,-586741460000.0,-68413118000.0,-6276301700.0,-395734180.0,-632857340.0,-470241040.0,-95188710.0,-592153190.0,-970390990.0,-2266221200.0,-869681720.0,-3222313600.0,-320725490.0,768.0,841.0,850.0,833.0,-114210560.0,859.0,-196879430.0,-302668440.0,-30595480.0,-7201.6,-567248460.0,-213284410.0,-658939920.0,-283077300.0,-441761320.0,-314874250.0,-8959111000.0,-1609861000.0,-10578954000.0,-78298680.0
4,-3123629400.0,-5428394200.0,-200726800.0,-3642577700.0,-2748685900.0,-3297611000.0,-67533214000.0,-560944040000.0,-63683583000.0,-6967229900.0,-443142990.0,-410839690.0,-448743480.0,-34532920.0,-190717650.0,-348533440.0,-642061800.0,-6961692800.0,-937089700.0,-424740930.0,2418.2,-6.900000000000091,2541.1,-2261.999,-3416.1,-151.79399999999998,138.0,-517051280.0,250.0,4787.9,-405164240.0,-926112660.0,-490756280.0,-779527200.0,-487756270.0,-806124660.0,-449547000.0,-94590563000.0,-6139398000.0,-50700914.0
5,-376557500.0,-6181318500.0,-2793655300.0,-4416499300.0,-311641800.0,-4068532800.0,-77772195000.0,-639536180000.0,-74672492000.0,-7629163700.0,-1299.0,-1516.0,-1534.0,7459.7,-1489.0,8306.9,-153014600.0,-55195517000.0,-19001100.0,-1691.0,-866.0,-962.0,-971.0,-953.0,-329468000.0,-982.0,-135313930.0,-7369736900.0,-4801150.0,-1075.0,-633042110.0,-273078680.0,-729233150.0,-325973270.0,-448560900.0,-357970200.0,-12328774000.0,-9629059000.0,-13998613000.0,-174489340.0
6,-4193522000.0,-6507285400.0,-3139620400.0,-4655474500.0,-2823672100.0,-424508400.0,-15508431000.0,-74525450000.0,-13968579000.0,-7986127700.0,-906.0,-5784.4,-1097.0,5829.2,-1066.0,6145.7,-4920491000.0,-22672264000.0,-4840483000.0,-1219.0,5926.9,8146.6,6291.7,-216.0,-218.0,-221.0,-503050000.0,-749074000.0,-500049600.0,7123.6,-796426240.0,-529653550.0,-900216580.0,-739332450.0,-188287440.0,-775528970.0,-14518556000.0,-13878634000.0,-1618384000.0,-260281350.0
7,-4294511600.0,-58276600.0,-3232610800.0,-4748465100.0,-311639500.0,-4395499000.0,-45015488000.0,-806619460000.0,-44815507000.0,-8077118200.0,428.0,400.0,404.0,391.0,-172416810.0,414.0,-5534552000.0,-76527650000.0,-569559900.0,427.0,681.0,743.0,752.0,734.0,-198919140.0,760.0,-4988497900.0,-5558554400.0,-5124511100.0,-5877.6,-697935840.0,-364069830.0,-798026520.0,-458060300.0,-66139350.0,-491457100.0,-6859321000.0,-98920130000.0,-8609152000.0,-248182240.0
8,-4120528400.0,-6310304300.0,-3047628700.0,-4321507500.0,-2766679600.0,-3965541800.0,-4785165000.0,-801220010000.0,-48325157000.0,-7967128400.0,-4208.9,-5425.4,-4205.3,299.5,323.0,-8164.2,-49004550.0,-480047480.0,-47304210.0,-2871.2,-2783.8,-4448.0,-2889.9,111.19999999999982,114.0,-7390.7,-202320120.0,-374537290.0,-212321060.0,-1132.9,-475057460.0,-4405070.0,-564949090.0,-866018790.0,-591746100.0,-893316170.0,-6307376300.0,-7812175000.0,-7954216600.0,-167689470.0
9,-4253515800.0,-6540281900.0,-3189615200.0,-4687471300.0,-3153640200.0,-4335505300.0,-48205169000.0,-804019730000.0,-48005187000.0,-8029123100.0,-37.0,-66.0,-75.0,-58.0,-239476080.0,-73.0,-39520200.0,-73762622000.0,-4907508800.0,-148.0,-640.0,-706.0,-714.0,-696.0,-197080980.0,-721.0,-4845515800.0,-5008499500.0,-4986502200.0,5804.5,-659039600.0,-303375760.0,-757630420.0,-360269940.0,-491356720.0,-38966830.0,-5329474000.0,-96040417000.0,-7069306000.0,-231283780.0
10,-4177523900.0,-6488287700.0,-3122622500.0,-4634477000.0,-2827672200.0,-4281511000.0,-21577824000.0,-749925140000.0,-20107965000.0,-7947131900.0,978.0,1068.0,1073.0,1061.0,1084.0,1081.0,-8919107000.0,-2887091000.0,-8899109000.0,1102.0,-341.6,916.59,-435.53,3336.3,8350.4,3387.5,-2836716300.0,-4883511600.0,-2862713800.0,55.600000000000364,-796226230.0,-5053500.0,-900216560.0,-739932350.0,-189887250.0,-776228870.0,-14378569000.0,-13568665000.0,-16148398000.0,-260981250.0
11,-3849557200.0,-6190318100.0,-272655100.0,-4431498400.0,-3198638100.0,-402531900.0,-82631710000.0,-646135530000.0,-79631997000.0,-7600166900.0,1365.0,1497.0,1511.0,9667.0,1495.0,9040.7,-4664532600.0,-63893610000.0,-4578541200.0,1580.0,874.0,965.0,975.0,956.0,-29828730.0,985.0,-855613940.0,-8945105100.0,-731926010.0,1067.0,-675137970.0,-338172250.0,-773328830.0,-429762970.0,-632942530.0,-462859790.0,-13728634000.0,-12268794000.0,-15418470000.0,-197087180.0
12,-3092633000.0,-5385399200.0,-2048730600.0,-3617581100.0,-3049657700.0,-321614300.0,-74892478000.0,-564543690000.0,-71182833000.0,-6905236400.0,-478153500.0,-519049580.0,-489852510.0,-581243380.0,-700831430.0,-589142600.0,-6367365000.0,-9563046200.0,-6723330700.0,-444157300.0,-8095.9,169.0,170.79999999999927,168.0,170.0,172.0,-53.0,-317568630.0,-79.0,-7379.8,-423662360.0,-946910550.0,-509654350.0,-803224790.0,-518253170.0,-830022230.0,-4879519000.0,-95500472000.0,-6419369000.0,-7198680.0
13,-2448699800.0,-5004440400.0,-1445793600.0,-3755571500.0,-4867483400.0,-3432602700.0,-84541519000.0,-587041440000.0,-81781782000.0,-6152314300.0,-728033180.0,-174089320.0,-820624690.0,-860520670.0,-266980090.0,-892717560.0,-5853420100.0,-7138292100.0,-6993309500.0,-510156450.0,-797.0,-881.0,-889.0,-876.0,-17383390.0,-901.0,-947.0,-1494.0,-1547.0,5391.2,-512553780.0,-136291930.0,-602445400.0,-166588780.0,-244880830.0,-197485820.0,-759238000.0,-200001000.0,-919083000.0,-54500907.0
14,-1099839900.0,-4148533200.0,-193925000.0,-3914565400.0,-8606126300.0,-3638592100.0,-63113675000.0,-64135850000.0,-62883693000.0,-4687466800.0,-647946340.0,-31979600.0,-836728930.0,-1324880100.0,-3350677600.0,-1375875100.0,-7202288500.0,-6113396300.0,-9205093600.0,-540359770.0,-733.0,-826.0,-829.0,-830.0,-849.0,-846.0,-233324060.0,-2139214500.0,-93410530.0,-911.0,-77727860.0,-525253830.0,-880418410.0,-760030220.0,-262779820.0,-79326700.0,-1148848000.0,-3379683000.0,-13318680000.0,-232983950.0
15,-2185746200.0,-7116256500.0,-1559805600.0,-699912900.0,-6199398800.0,-567926000.0,-12868715000.0,-779722140000.0,-1548393000.0,-5008451800.0,-1497868100.0,-2627757300.0,-1816838600.0,-4276592500.0,-7627257500.0,-4357584700.0,-68693140000.0,-2359767000.0,-71332882000.0,-1530869200.0,-85.0,-119.0,-110.0,-2573.1,-170.0,-2864.3,-252726170.0,-2394239900.0,-75208950.0,-90.0,-25200940.0,-544049390.0,-85995270.0,-418461830.0,-181185420.0,-442159550.0,-9763030200.0,-58024219000.0,-1236887500.0,-4400.0
16,-7504386000.0,-4785674600.0,-9971156700.0,-12928860000.0,-71243030000.0,-13808775000.0,-581341910000.0,-822017770000.0,-599340140000.0,-8735296300.0,-741763550.0,-40828820.0,-914779540.0,11894.0,-246263440.0,11973.0,-774763700.0,-8486847100.0,-8752866800.0,-723959370.0,-1701.0,-1886.0,-1901.0,-332668590.0,-299971870.0,-345567350.0,-7895210900.0,-9792020800.0,-8046196200.0,-2127.0,-7095520.0,-514551480.0,-123090720.0,-231879570.0,-697532780.0,-251577680.0,-462451200.0,-75587553000.0,-5686559000.0,-3470.0
17,-630065600.0,-6603483900.0,-2953849600.0,-1238895000.0,-66093536000.0,-13308816000.0,-561243920000.0,-887511220000.0,-578942180000.0,-2692890800.0,-793970870.0,-918182340.0,-923882870.0,-929683500.0,-959586420.0,-956886100.0,-187011700.0,-5461541200.0,-148133600.0,-52994890.0,313.56,4695.3,1020.5,-466.0,-468.0,-475.0,-613385000.0,-3534646200.0,-6134386400.0,-6693.3,-134092990.0,-108896140.0,-246282530.0,-703036510.0,-984808130.0,-749232070.0,-492045560.0,-6790675000.0,-88703240.0,-30477460.0
18,-838044400.0,-7368408300.0,-3151829500.0,-1428707000.0,-70563091000.0,-15228626000.0,-645935450000.0,-72092760000.0,-664133660000.0,-2265931500.0,-246317030.0,-985790190.0,-357727330.0,-143205950.0,-539745490.0,-19510330.0,-5409533200.0,-9450937000.0,-6845672300.0,-775668250.0,1400.0,1543.0,1560.0,-405539010.0,-496148040.0,-418840290.0,-4672465600.0,-2595257100.0,-5007498000.0,1751.0,-311973190.0,-88416230.0,-39065730.0,-802224410.0,-678036610.0,-830521690.0,-7055699700.0,-72937286000.0,-8084799400.0,-5560.0
19,-9747153100.0,-6327513000.0,-2064937900.0,-13648783000.0,-70823068000.0,-14508700000.0,-696030440000.0,-171882780000.0,-714628620000.0,-1285027300.0,-132012020.0,-154414190.0,-136712420.0,-18917470.0,-235622270.0,-194418160.0,-5466543700.0,-1281124100.0,-5858581200.0,-44803090.0,1644.9,-1164.9,1724.9,-6464.3,-29.0,-6547.9,-481047880.0,-819581340.0,-511850800.0,5672.0,-89394650.0,-497154210.0,-155488480.0,-133290440.0,-430360500.0,-154388410.0,-9265919800.0,-99469939000.0,-447034200.0,-4552.0
20,-8885236400.0,-5166626200.0,-1156025600.0,-12038940000.0,-68363311000.0,-1278859000.0,-638236220000.0,-59694000000.0,-656334440000.0,-707081300.0,-4445.0,-389366030.0,-5034.0,-675237380.0,-373167580.0,-708334200.0,-3540355700.0,-8353835700.0,-2969299500.0,-5587.1,-1963.0,-2174.0,-2194.0,-519350200.0,-679334230.0,-53348720.0,-7851216200.0,-7936207400.0,-8190183100.0,-2437.0,-346569700.0,-863618430.0,-42562200.0,-676536950.0,-337470630.0,-70034440.0,-7529747000.0,-73237317000.0,-8572848200.0,-5515.0
21,-7690351200.0,-3089828300.0,-982147500.0,-8429296000.0,-61453996000.0,-9229219000.0,-520947940000.0,-834916470000.0,-538346240000.0,-271119500.0,-1386.2000000000007,-1612.0,-1626.0,-1601.0,-1589.0,-1630.0,-3338333100.0,-70987096000.0,-3319331100.0,-1501.3,7444.0,-337.0,-340.3000000000002,-336.0,-339.0,-343.0,-936093500.0,-967964800.0,-894089400.0,7330.6,-163590460.0,-170190470.0,-283179300.0,-810126270.0,-187588310.0,-858221640.0,-976894300.0,-9491945300.0,-549949740.0,-317176830.0
22,-836281300.0,-4473694200.0,-679071900.0,-11049039000.0,-66853461000.0,-11878959000.0,-526947350000.0,-828817090000.0,-544945580000.0,-603089600.0,-135610370.0,-804777010.0,-182214720.0,-962592820.0,-339230400.0,-992695720.0,-5090505000.0,-16011596000.0,-5800574000.0,3862.0,1752.0,1937.0,1955.0,-442542320.0,-582356270.0,-45843720.0,-5630561100.0,-5380535300.0,-5952592200.0,2176.0,-468657950.0,-5100020.0,-557049700.0,-975107610.0,-863218570.0,-4604770.0,-10065200.0,-47044699000.0,-1579150000.0,-70299050.0
23,-8567268800.0,-4853659000.0,-869055100.0,-11918955000.0,-68933257000.0,-12768873000.0,-547845260000.0,-857514220000.0,-566343450000.0,-65081200.0,540.0,562.0,564.0,557.0,579.0,572.0,-858085250.0,-3176316900.0,-916090830.0,611.0,-5588.6,-9247.5,-5910.4,242.0,246.0,249.0,-92209000.0,-269826670.0,-129012550.0,-1496.7,-16786900.0,-58045980.0,-238980350.0,-220081980.0,-522751480.0,-23979890.0,-5717565800.0,-74127406000.0,-6737664400.0,-4803.0
24,-8552268700.0,-4713670700.0,-822057900.0,-1138995000.0,-67763370000.0,-12338914000.0,-539446100000.0,-850914880000.0,-557544320000.0,-679082300.0,-9493370.0,-782924990.0,-145588770.0,-956407590.0,-37964790.0,-987304620.0,-3349666000.0,-1128853000.0,-399595000.0,-3727.0,-1729.0,-1912.0,-1932.0,-434258450.0,-579543940.0,-449057030.0,-5511450100.0,-5055495600.0,-5840418200.0,-2156.0,-36567770.0,-886516250.0,-449660040.0,-700234700.0,-363168180.0,-726832150.0,-5607555400.0,-5655635000.0,-6537645300.0,-34102228.0
25,-7755343900.0,-3158820600.0,-9952140000.0,-8509287000.0,-61563985000.0,-9309211000.0,-524447590000.0,-841215850000.0,-541945880000.0,-380108000.0,693.0,754.0,756.0,743.0,751.0,753.0,-4839515500.0,-90920907000.0,-4978502000.0,822.0,5138.4,8360.7,5284.2,-89.0,-89.0,-94.0,-6671332900.0,-461954000.0,-6696330600.0,-2104.0,-144692310.0,-151092350.0,-264481130.0,-790628180.0,-166790350.0,-838823540.0,-272923900.0,-60002000.0,-843279090.0,-299278580.0
26,-81244000.0,-4980643000.0,-1056033900.0,-11698973000.0,-67673378000.0,-12538892000.0,-632036830000.0,-47795200000.0,-650135060000.0,-765074000.0,4492.0,-346929720.0,5012.0,-595354620.0,-199815000.0,-628057740.0,-6817316100.0,-5560442700.0,-6269369800.0,5544.7,1960.0,2173.0,2193.0,-493047130.0,-646962480.0,-508448610.0,-7249723400.0,-6423640900.0,-7584756000.0,2426.0,-462758370.0,-43200810.0,-54750340.0,-962508690.0,-844020310.0,-991605890.0,-2959290300.0,-64526446000.0,-3948386200.0,-12204685.0
27,-9769150100.0,-6433501800.0,-2097933800.0,-13918755000.0,-7133002000.0,-1468672000.0,-70129670000.0,-183681600000.0,-722427840000.0,-1390016300.0,-811919170.0,-729427490.0,-805919820.0,-591241330.0,-289771500.0,-59141160.0,-9382063400.0,-383612300.0,-9674035400.0,-826717790.0,434.0,489.0,492.0,488.0,495.0,498.0,-786578470.0,-345834750.0,-827282460.0,-8381.5,-116691870.0,-526051280.0,-183185660.0,-163487370.0,-464157070.0,-184585340.0,-925914700.0,-99699962000.0,-398029300.0,-4522.0
28,-1244004600.0,-8138332400.0,-3598785800.0,-1568568000.0,-73332816000.0,-16658485000.0,-674232620000.0,-120887880000.0,-692930790000.0,-2572902300.0,-290278800.0,-142694460.0,-410767720.0,-514557250.0,-340974700.0,-564352440.0,-2743732200.0,-28457161000.0,-4295581500.0,-749734700.0,-1393.0,-1533.0,-1549.0,-314170090.0,-401361380.0,-327568800.0,-4967504700.0,-4205581400.0,-5306471800.0,-1764.0,-225081500.0,-73530710.0,-299774510.0,-546449580.0,-19883720.0,-571947120.0,-1832177000.0,-83148307000.0,-2923282700.0,-5121.0
29,-1607968900.0,-8042341500.0,-3983748000.0,-1458676000.0,-69843162000.0,-15538595000.0,-595940450000.0,-94305320000.0,-614138660000.0,-341814800.0,-663243860.0,-192292250.0,-831928340.0,-926718820.0,-416469940.0,-970614580.0,-5557451300.0,-206500.0,-715290200.0,-594952970.0,51.0,57.0,57.0,55.0,50.0,53.0,-306030800.0,-971097400.0,-218022300.0,51.0,-64399970.0,-54001640.0,-177089470.0,-671939630.0,193920.0,-719035100.0,-612657590.0,-8650861000.0,-222616580.0,-238384280.0
30,-8402297600.0,-6188536100.0,-924063100.0,-15148639000.0,-75142641000.0,-16058552000.0,-620338010000.0,-886811290000.0,-638836190000.0,-9426229800.0,-963615990.0,-55608440.0,-181295920.0,-962017830.0,-706643470.0,-995814580.0,-3372668300.0,-1869815300.0,-4866522400.0,-555859490.0,1667.0,1848.0,1866.0,-242322390.0,-188016940.0,-25623620.0,-6600659200.0,-5176516900.0,-6718670700.0,2103.0,-138289050.0,-626240510.0,-192383990.0,-416261320.0,-36199080.0,-438059220.0,-3142308000.0,-7577555000.0,-4259416400.0,-3744.0
31,-3158889600.0,-8196409300.0,-6876543500.0,-1868348000.0,-2369990000.0,-20068225000.0,-569443130000.0,-74824650000.0,-597940350000.0,-9092347000.0,-226973260.0,-468748540.0,-184377010.0,-813713950.0,-61932500.0,-839211510.0,-926305300.0,-7750223600.0,-91404720.0,4647.0,-1849.0,-1500449.0,-2069.0,-558146210.0,-67234570.0,-572444840.0,-6049396100.0,-9707030000.0,-6301371600.0,-2329.0,-503553630.0,-306173720.0,-571447290.0,-653238780.0,-443959450.0,-68435480.0,-3770368300.0,-79487934000.0,-5472533900.0,-5058.0
32,-3906824900.0,-284946500.0,-7694472600.0,-40526184000.0,-38866350000.0,-41976045000.0,-744025680000.0,-163983610000.0,-774422710000.0,-5263741000.0,15259.0,7251.0,6624.3,7240.0,-238668860.0,7308.0,-5239519300.0,-1089105400.0,-6001592900.0,7868.0,-8488.8,-4909.7,-7778.7,-498.12,-505.0,1153.0,-1619837800.0,-8398159400.0,-1566843000.0,-550.0,-2758.0,-3050.0,-3130.0,-2875.0,6853.2,-2890.0,-4891478500.0,-41394121000.0,-7007684000.0,-3627.0
33,-8801324900.0,-4187809500.0,-2479982400.0,-25257700000.0,-969239000.0,-26557576000.0,-664033680000.0,-49295080000.0,-693530790000.0,-3850870900.0,-712960860.0,-926881140.0,-882676640.0,-860074530.0,-846873060.0,-926380890.0,-13371327000.0,-99109901000.0,-15301516000.0,-5087640.0,884.0,980.0,990.0,974.0,-310830080.0,1003.0,-463445260.0,-286027200.0,-663664620.0,1137.0,-60144560.0,-352970000.0,-686436770.0,-586046470.0,-135491270.0,-61743140.0,-7894780800.0,-91219106000.0,-9644951000.0,-6116.0
34,-4729727300.0,-8841339000.0,-8357389500.0,-17648457000.0,-97450477000.0,-18878338000.0,-612538830000.0,-959804030000.0,-641336000000.0,-1034147100.0,9240.9,1927.3,8537.2,1156.0,1178.0,1180.0,-8903888100.0,-629620600.0,-928922600.0,1262.0,7821.5,6605.3,8168.3,3748.4,-214.5999999999999,3747.8,-141685730.0,-922491800.0,-131186690.0,-226.0,-915114410.0,-849021590.0,-15305080.0,-391067160.0,-583347700.0,-434662970.0,-8965889100.0,-53245310000.0,-436032200.0,-68100617.0
35,-4199781700.0,-9073317700.0,-7849442000.0,-19248299000.0,-1930031000.0,-20508177000.0,-632136860000.0,-988201180000.0,-661234010000.0,-9868264700.0,-100198660.0,-418667800.0,-262283540.0,-535855980.0,-959913600.0,-594550360.0,-8838120700.0,-159988000.0,-304977100.0,-392871650.0,-1762.0,-1966.0,-1980.0,-76294320.0,-770424930.0,-86593330.0,-4165584900.0,-6963305200.0,-4510551400.0,-2205.0,-807524780.0,-665539510.0,-901116070.0,-77198120.0,-1205470.0,-117194260.0,-9603952300.0,-76157601000.0,-132114000.0,-6952.0
36,-9308283000.0,-8449393700.0,-3089931400.0,-36156621000.0,-34596777000.0,-37596482000.0,-740826000000.0,-177482270000.0,-771423010000.0,-448220600.0,-1960.0,-62495980.0,-2260.0,-282174000.0,-789023300.0,-290073250.0,-5861586400.0,-6576656500.0,-61580700.0,-2546.0,2569.6,3219.4,-310.0999999999999,3689.6,-308.8000000000002,3773.7,-5539553800.0,-7594758600.0,-5514551200.0,9214.1,-3204.0,-3556.0,-3638.0,-3379.0,-3079.0,-3402.0,-1710160300.0,-41464128000.0,-3853368600.0,-4164.0
37,-3309870900.0,-8650361100.0,-6969530400.0,-19808244000.0,-4599765000.0,-21098120000.0,-592240850000.0,-918108190000.0,-61837970000.0,-8698379900.0,-973990410.0,-188411110.0,-99502160.0,-237916110.0,-429535140.0,-293721480.0,-38333826000.0,-71817174000.0,-39863977000.0,-33024250.0,1288.0,1434.0,1445.0,1429.0,-428441380.0,1464.0,-2147213100.0,-6714669400.0,-2339231600.0,1620.1999999999998,-719333410.0,-473458500.0,-812024760.0,-698035820.0,-232482120.0,-733832380.0,-1014093300.0,-69946980000.0,-2648252200.0,-69699740.0
38,-540143100.0,-4445776500.0,-410806600.0,-13208899000.0,-9290912000.0,-14438781000.0,-538246250000.0,-831816830000.0,-567143420000.0,-7570485200.0,762.0,843.0,850.0,834.0,-72306360.0,856.0,-329327400.0,-4371436400.0,-344342200.0,965.0,-4501.4,-7124.5,-4824.0,238.0,244.0,243.0,-21220660.0,-391138680.0,-253824960.0,-816.06,-989507260.0,-926814140.0,-95697380.0,-464160180.0,-648641510.0,-508455920.0,-3283321500.0,-29232911000.0,-4598449400.0,-247483030.0
39,-2475951800.0,-7251498300.0,-6119612700.0,-17438479000.0,-210202000.0,-18698357000.0,-575442530000.0,-891110890000.0,-604739660000.0,-8497397000.0,-876419540.0,-116396330.0,-307580.0,-191588720.0,-459961930.0,-248283280.0,-36456359000.0,-68523151000.0,-38046204000.0,-173391590.0,-1342.0,-1494.0,-1508.0,-1487.0,-601941300.0,-1526.0,-4098591300.0,-3801621000.0,-4372564800.0,5528.2,-850420610.0,-709335260.0,-94511630.0,-11394200.0,-35202190.0,-157990310.0,-6040596300.0,-59095895000.0,-7592747400.0,-100197070.0
