Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
1,-4698528200.0,-8590139000.0,-5723425800.0,-4875510300.0,-7388259000.0,-5069491100.0,-52324761000.0,-36246367000.0,-55514441000.0,-2442753900.0,-100010180.0,-471347310.0,-319132090.0,-852485430.0,-580458190.0,-879688130.0,-9944994000.0,-24652464000.0,-1143113800.0,-131513310.0,15.0,13.0,12.0,15.0,12.0,11.0,-214978450.0,-272672660.0,-176882260.0,14.0,-109488950.0,-338066110.0,-15384420.0,-720927810.0,-481151790.0,-731126810.0,-212978500.0,-514481000.0,-29967900.0,74.0
2,-6379360100.0,-242973700.0,-7387259400.0,-6455352400.0,-8717126200.0,-6644333600.0,-17178276000.0,-5169477000.0,-19428051000.0,-4088589200.0,-9748.2,-110.0,-112.0,-110.0,-95.0,-101.0,-6997699700.0,-4912491000.0,-777776100.0,-79.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-772722690.0,-436456270.0,-72127510.0,-3.0,-782621590.0,-113388520.0,-860713800.0,-649834870.0,-711328720.0,-665533320.0,-5963403300.0,-2717727400.0,-6220377500.0,-574742390.0
3,-747245500.0,-1398858200.0,-8530145000.0,-7627235200.0,-9920005900.0,-7816216400.0,-21687825000.0,-88771116000.0,-23687625000.0,-5213476700.0,-64.0,5913.5,-66.0,-8832.5,-52.0,-9852.4,-222322260.0,-909190900.0,-637863820.0,-30.0,-21.0,-19.0,-18.0,-21.0,-17.0,-16.0,-19.0,-776922300.0,-19.0,-16.0,-592040670.0,-880611820.0,-661233760.0,-346465220.0,-267973070.0,-360163870.0,-4739525700.0,-370962200.0,-4948504700.0,-408759010.0
4,-8277170200.0,-2217776200.0,-87068700.0,-850141500.0,-1093888500.0,-8756122500.0,-30606933000.0,-99130080000.0,-32596733000.0,-5915406500.0,-2.0,-5.0,-7.0,-4.0,4.0,3.0,-95509460.0,-1233123100.0,-20319500.0,31.0,246.0,-968.313,309.8,-737.65,-2119.5,-815.58,8287.2,0.0,8483.4,142.66,-415958290.0,-650134890.0,-478252080.0,-16898200.0,-740925800.0,-28297070.0,-2895710100.0,-6592340100.0,-3069692600.0,-277272180.0
5,-831161500.0,-219772700.0,-9372060900.0,-8511146800.0,-863911500.0,-8701128000.0,-21057888000.0,-87381255000.0,-22967697000.0,-6030395000.0,-7299220.0,-121287830.0,-31296830.0,-308469100.0,-685931340.0,-312468700.0,-3455345300.0,-2461245600.0,-3360335700.0,70.0,25.0,23.0,23.0,25.0,22.0,20.0,26.0,-154115370.0,-9858.3,25.0,-641035770.0,-928307050.0,-713028580.0,-386161260.0,-291470730.0,-399959890.0,-6087390800.0,-2980701200.0,-6312368300.0,-460753810.0
6,-8448153100.0,-2312766700.0,-9452052900.0,-8527145100.0,-789918900.0,-8716126400.0,-789158000.0,-80101983000.0,-10258968000.0,-6129385200.0,22.0,20.0,19.0,21.0,27.0,26.0,-8617861300.0,-1367135900.0,-8549854600.0,44.0,6741.9,7780.9,7035.8,9362.7,5.0,9410.9,-723172240.0,-5435543400.0,-711171040.0,6246.4,-806119250.0,-134686400.0,-885211350.0,-664033450.0,-712028650.0,-679631900.0,-6750324500.0,-4789520200.0,-7014298100.0,-594340430.0
7,-8656132300.0,-2542743800.0,-9666031500.0,-8794118400.0,-1134884400.0,-8984099700.0,-99200073000.0,-77612232000.0,-1219871000.0,-6327365300.0,-2481.0,-8255.1,-2826.6,-14.0,-4.0,-3.0,-2852285000.0,-7485747900.0,-2876287300.0,-1521.5,-21.0,-20.0,-19.0,-21.0,-17.0,-16.0,-295329460.0,-9687968600.0,-346634590.0,-19.0,-709928870.0,-9198950.0,-785121370.0,-48351290.0,-428457020.0,-500149860.0,-3220677500.0,-8460153300.0,-3475652000.0,-526247260.0
8,-8968101100.0,-2921705800.0,-9990998900.0,-9291068700.0,-1866811100.0,-9484049600.0,-97760217000.0,-77672226000.0,-99890004000.0,-6598338200.0,-632.08,-1198.6,-666.35,-2483.8,-4813.1,-2539.3,5.0,-602360210.0,4.0,-1278.3,-2641.0,-2.099999999999909,-2751.3,-4692.1,-1.8999999999996362,-4722.0,-2.0,-2.0,-2.0,-2111.1,-473552540.0,-712228670.0,-538746030.0,-8091610.0,-814318460.0,-94390460.0,-8628136900.0,-9710028300.0,-881116000.0,-339965900.0
9,-8693128600.0,-2588739100.0,-9705027600.0,-8858112100.0,-1232874600.0,-9048093300.0,-569937000.0,-80561937000.0,-2609733000.0,-6359362200.0,8016.5,19.0,8451.2,19.0,23.0,20.0,-2760723500.0,-7052294100.0,-2791720400.0,4550.6,22.0,20.0,19.0,21.0,18.0,17.0,-267473140.0,-9599039900.0,-319567930.0,20.0,-675132360.0,-964703400.0,-748725010.0,-424357430.0,-333266540.0,-438356050.0,-2572742300.0,-7194279800.0,-2820717500.0,-499049980.0
10,-8458152200.0,-2324765600.0,-9462051900.0,-8544143400.0,-816916200.0,-867124700.0,-919029000.0,-83571636000.0,-11558838000.0,-6137384300.0,-7.0,-7.0,-7.0,-7.0,1.0,-1.0,-479951600.0,-4782520900.0,-434956100.0,-1.0,-802.8,-347.09,0.7899999999999636,686.41,2833.2,646.15,-735526370.0,-7393260500.0,-736126300.0,-1581.8,-809118950.0,-13586080.0,-888311040.0,-667433110.0,-715728280.0,-683031570.0,-6710328500.0,-4690530200.0,-6975302000.0,-597040160.0
