epoch,train_loss,val_loss,val_acc,val_f1_macro
1,1.8194961493665522,,,
2,1.7562538656321438,,,
3,1.5961549553004177,,,
4,1.3723546645858071,,,
5,1.1868501197208057,,,
6,1.0383080081506209,,,
7,0.9457124498757449,,,
8,0.8676728999072855,,,
9,0.8098230551589619,,,
10,0.7808107042854483,,,
11,0.7616716860370203,,,
12,0.7426821914586154,,,
13,0.6965829269452528,,,
14,0.9864376742731441,,,
15,0.8169414766810157,,,
16,0.6285156404430216,,,
17,0.6106381463733587,,,
18,0.5525847182355144,,,
19,0.617966731840914,,,
20,0.7194980985739015,,,
21,0.6653653749010779,,,
22,0.5134898112578825,,,
23,0.5513841394673694,,,
24,0.500677256506275,,,
25,0.5276082002303817,,,
26,0.5285943492569707,,,
27,0.43954795378852973,,,
28,0.42699107798663055,,,
29,0.4372956339608539,,,
30,0.4795199798589403,,,
31,0.435166875239123,,,
32,0.528272408484058,,,
33,0.44954808411950414,,,
34,0.36982049589807336,,,
35,0.397478954189203,,,
36,0.4493756399235942,,,
37,0.4128295465965163,,,
38,0.5397682167928327,,,
39,0.4139676464890892,,,
40,0.339019307189367,,,
41,0.29190850452604616,,,
42,0.29020170046185906,,,
43,0.40600987536494026,,,
44,0.41375757923180406,,,
45,0.34688059223646467,,,
46,0.3383463920856064,,,
47,0.31957173169675196,,,
48,0.33091430565003643,,,
49,0.2734608839012005,,,
50,0.2914685258133845,,,
51,0.2850753185339272,,,
52,0.30619022952900693,,,
53,0.2693806615319442,,,
54,0.2916005718818104,,,
55,0.4092057320204648,,,
56,0.8978330055251718,,,
57,0.8989857648583975,,,
58,0.35920267179608345,,,
59,0.25666513945907354,,,
60,0.24770205163142897,,,
