rank,node_number,x_n,y_n,z_n,t_n,score
1,3180,0.125,0.231828125,0.922840621611854,0.13793103448275862,30003.999199999995
2,3006,0.125,0.17028125,0.8773762197325623,0.0,29998.999199999995
3,2047,1.0,0.046875,0.6023370678231538,0.0,19998.999199999995
4,717,0.25,0.25,0.62643055053608,0.13793103448275862,9999.899199999998
5,9704,0.875,0.3453125,0.6754101915431876,0.0,7997.599299999999
6,13506,0.8625,0.71875,0.655524635586074,0.13793103448275862,6000.299299999999
7,18623,0.39878749999999996,0.279090625,0.9063847729189254,0.0,5001.199299999999
8,11071,0.125,0.840625,0.7981448018311047,0.48275862068965514,4064.877479674796
9,15172,0.553275,0.037666875,0.7767377424406698,0.27586206896551724,4001.799299999999
10,16914,0.375,0.37128125,0.8280327671364895,0.27586206896551724,3998.1992999999993
11,15030,0.19607375,0.0415690625,0.7741476930490302,0.27586206896551724,3001.8992999999996
12,9833,0.8625,0.49015624999999996,0.9049150704734369,0.3448275862068966,2727.3629999999994
13,15282,0.3229875,0.348875,0.7554872906878689,0.48275862068965514,2438.373414634146
14,22058,0.15475,0.47240624999999997,0.9940127695458378,1.0,2153.9033925686585
15,19648,0.3388625,0.729125,0.9257920732441873,0.0,1999.8992999999996
16,3855,0.375,0.113090625,0.8441633538127936,0.3448275862068966,1826.2720909090906
17,19328,0.7914125000000001,0.110325,0.9351764847608722,0.3448275862068966,1798.9084545454543
18,18678,0.5236625,0.287284375,0.904035658354415,0.9655172413793103,1676.166083333333
19,6003,0.875,0.21875,0.62643055053608,0.9655172413793103,1675.0827499999998
20,16928,0.4224875,0.380625,0.8672449102517767,0.9655172413793103,1665.916083333333
21,22554,0.42247500000000004,0.215021875,0.9925189736176363,0.48275862068965514,1620.243333333333
22,16011,0.76345,0.324653125,0.7931092639441031,0.6896551724137931,1515.6385714285711
23,7302,0.375,0.51525,0.9854234429586796,0.6896551724137931,1503.8340601503758
24,7026,0.1125,0.528125,0.6754909047102758,0.6896551724137931,1503.4581203007517
25,17965,0.588875,0.082246875,0.8855318636308878,0.6896551724137931,1466.08969924812
26,20178,0.42247500000000004,0.57128125,0.9518853150222863,0.8275862068965517,1111.1662777777779
27,16008,0.8228625,0.32075624999999997,0.8054451270931212,0.8275862068965517,1107.1107222222222
28,19850,0.19624000000000003,0.26033125,0.9369232622575593,0.8275862068965517,1097.9440555555555
29,524,0.12499999999999947,0.453125,0.62643055053608,0.27586206896551724,1000.0992999999999
30,8793,0.625,0.496875,0.92149138657993,0.27586206896551724,999.9892999999998
31,5473,0.8625,0.184375,0.7276641368509817,0.13793103448275862,999.4692999999999
32,1216,0.0625,0.296875,0.6023370678231538,0.3448275862068966,911.3629999999998
33,19220,0.3625,0.1181125,0.9584507890615589,0.9655172413793103,811.4577499999999
34,18396,0.6125,0.7056875,0.882231056499217,0.27586206896551724,800.0193999999999
35,17926,0.3625,0.07753125000000001,0.8891699795205397,0.48275862068965514,757.6254471544714
36,15511,0.7439250000000001,0.35721875000000003,0.8006987109986747,0.13793103448275862,700.1193999999999
37,11379,0.3625,0.9013125000000001,0.9114323575472835,0.3448275862068966,636.3539999999999
38,17,0.875,0.96875,0.62643055053608,0.3448275862068966,545.435818181818
39,14236,0.875,0.8294374999999998,0.9969883146608842,0.0,500.0093999999999
40,11059,0.125,0.84375,0.675142753885074,1.0,431.04943457189006
41,8644,0.625,0.602375,0.8115046379954222,0.13793103448275862,400.1393999999999
42,3797,0.375,0.090625,0.8804722322611732,0.3448275862068966,337.1903636363636
43,18396,0.6125,0.7056875,0.882231056499217,0.48275862068965514,325.21089430894307
44,737,0.875,0.21875,0.62643055053608,0.6206896551724137,300.0593999999999
45,5289,0.8625,0.2384375,0.9629442235875195,1.0,219.82767905223474
46,5279,0.8625,0.215625,0.9800385495723407,1.0,207.06515885837368
47,4183,0.375,0.26331875,0.9325864353692326,0.6206896551724137,205.96999999999997
48,4290,0.6125,0.26331875,0.9325864353692326,0.6206896551724137,192.54999999999995
49,4183,0.375,0.26331875,0.9325864353692326,0.3448275862068966,190.15454545454543
50,5297,0.8625,0.21875,0.9560534875316226,1.0,186.25740441572424
51,5289,0.8625,0.2384375,0.9629442235875195,0.9655172413793103,185.45833333333331
52,4290,0.6125,0.26331875,0.9325864353692326,0.3448275862068966,180.1272727272727
53,4116,0.375,0.262071875,0.9472834598241175,0.6206896551724137,177.44999999999996
54,6144,0.875,0.2336875,0.9796651005902903,1.0,175.1319332256327
55,5352,0.8625,0.2336875,0.9796651005902903,1.0,172.827140549273
56,5297,0.8625,0.21875,0.9560534875316226,0.9655172413793103,169.35833333333332
57,6211,0.875,0.21875,0.9560534875316226,1.0,168.96068928379103
58,4183,0.375,0.26331875,0.9325864353692326,0.48275862068965514,168.53658536585363
59,19926,0.6125,0.25570312500000003,0.9432478014697024,0.6206896551724137,167.79999999999998
60,21322,0.8388,0.235378125,0.9781833514034453,1.0,167.25901992460956
61,21331,0.6487625,0.235340625,0.9782194916275146,1.0,167.1513193322563
62,4683,0.6125,0.10855624999999999,0.9325864353692326,0.48275862068965514,166.15447154471542
63,19920,0.375,0.25565625000000003,0.9433080351764848,0.6206896551724137,166.09999999999997
64,4116,0.375,0.262071875,0.9472834598241175,0.3448275862068966,164.89999999999998
65,4336,0.6125,0.262071875,0.9472834598241175,0.6206896551724137,162.92999999999998
66,4182,0.375,0.256696875,0.9419226599204914,0.6206896551724137,162.76999999999998
67,6214,0.875,0.240546875,0.9451270931213106,1.0,162.06785137318252
68,4290,0.6125,0.26331875,0.9325864353692326,0.48275862068965514,161.21951219512192
69,4683,0.6125,0.10855624999999999,0.9325864353692326,0.6206896551724137,159.09999999999997
70,5279,0.8625,0.215625,0.9800385495723407,0.9655172413793103,158.02499999999998
71,6235,0.875,0.20273750000000001,0.9854234429586796,1.0,157.8029079159935
72,3790,0.375,0.10855624999999999,0.9325864353692326,0.6206896551724137,157.79999999999998
73,19926,0.6125,0.25570312500000003,0.9432478014697024,0.3448275862068966,157.18181818181816
74,21235,0.6125,0.233828125,0.9795446331767256,1.0,156.9197630586968
75,4683,0.6125,0.10855624999999999,0.9325864353692326,0.3448275862068966,155.14545454545453
76,17997,0.6125,0.080703125,0.8960125286110107,0.6206896551724137,155.09999999999997
77,19920,0.375,0.25565625000000003,0.9433080351764848,0.3448275862068966,154.54545454545453
78,21299,0.832775,0.23260625,0.9682568365257197,1.0,153.15024232633277
79,4336,0.6125,0.262071875,0.9472834598241175,0.3448275862068966,152.9272727272727
80,17997,0.6125,0.080703125,0.8960125286110107,0.48275862068965514,152.27642276422762
81,4182,0.375,0.256696875,0.9419226599204914,0.3448275862068966,150.4363636363636
82,3217,0.125,0.3125,0.8084809059149499,0.13793103448275862,149.99999999999997
83,4140,0.375,0.089403125,0.9134441633538127,0.6206896551724137,147.10999999999999
84,4289,0.6125,0.256696875,0.9419226599204914,0.6206896551724137,146.99999999999997
85,3790,0.375,0.10855624999999999,0.9325864353692326,0.48275862068965514,146.91056910569102
86,17997,0.6125,0.080703125,0.8960125286110107,0.3448275862068966,145.99999999999997
87,4116,0.375,0.262071875,0.9472834598241175,0.48275862068965514,144.79674796747966
88,18000,0.375,0.0931125,0.9203228526683531,0.48275862068965514,144.6341463414634
89,3790,0.375,0.10855624999999999,0.9325864353692326,0.3448275862068966,143.7090909090909
90,5628,0.8625,0.24041562500000002,0.930333694735574,1.0,143.62950996230475
91,4119,0.375,0.2408875,0.9729671123960967,0.6206896551724137,143.19999999999996
