node_id,x_n,y_n,z_n,t_n,rel_strength,s_norm
8409,0.625,0.43634375,0.9653294783760993,0.5555555555555556,10714.64257142857,2.464698266914035
11387,0.3625,0.9262812500000001,0.8589928924225997,0.0,9989.6664,2.4205907777359004
3671,0.3625,0.10855624999999999,0.9325864353692326,0.6666666666666666,8831.176235294117,2.3429892709132503
9258,0.6125,0.54434375,0.922840621611854,0.4444444444444444,8822.94094117647,2.3424019199557162
10718,0.1125,0.6761250000000001,0.733739308517046,0.4444444444444444,8818.529176470589,2.342087042126627
13069,0.625,0.871875,0.8461510661366101,0.1111111111111111,7494.4998,2.239668248135273
12606,0.6125,0.871875,0.8186844958438743,0.4444444444444444,5886.470352941176,2.0876280535364122
12194,0.375,0.67396875,0.6938103842910492,0.6666666666666666,5874.705647058823,2.0863686341857703
12834,0.6125,0.809375,0.9879412119021804,0.1111111111111111,5007.7498,1.985855001027887
4076,0.375,0.090625,0.6827141308276111,0.7777777777777778,4881.219317073171,1.9697450674529995
3018,0.125,0.153125,0.62643055053608,0.3333333333333333,3841.422769230769,1.818951278956018
20783,0.3987,0.43846875,0.955149981929888,0.3333333333333333,2692.3843461538463,1.5952417211970167
22520,0.5651375,0.21505000000000002,0.9803397181062522,0.8888888888888888,2221.8053611111113,1.4743353134558703
23177,0.434375,0.168925,0.9853632092518974,0.2222222222222222,1936.4836451612903,1.387837055836986
1219,0.25,0.296875,0.6023370678231538,0.4444444444444444,1469.4703823529412,1.2141809195656035
10796,0.1125,0.8026562500000001,0.9049150704734369,0.4444444444444444,1463.7056764705883,1.2117077306349187
1170,0.9375,0.234375,0.6023370678231538,0.1111111111111111,1252.024825,1.1134267500890718
23717,0.8032125000000001,0.8048437500000001,0.9996747379833755,0.6666666666666666,891.4115588235294,0.8997384839352323
19994,0.7915,0.26345625,0.9323816407661726,1.0,877.2243612334802,0.8896485022273098
24346,0.6962125,0.81971875,0.9993253824840381,1.0,862.158281938326,0.8787534175073928
1403,0.5,0.484375,0.6023370678231538,0.1111111111111111,749.699825,0.79086231131099
5041,0.625,0.15625,0.62643055053608,0.0,663.1664333333333,0.7137498695007876
19847,0.30322499999999997,0.26735000000000003,0.9264305505360798,0.2222222222222222,640.5159032258065,0.691902550464602
18802,0.33876249999999997,0.591625,0.9196482351523912,0.6666666666666666,587.3527352941177,0.6374351583381465
21655,0.5888,0.860375,0.9658113480303577,0.4444444444444444,563.5586176470588,0.6114425957223867
17142,0.4699375,0.6900000000000001,0.8594386218527887,0.8888888888888888,557.1109166666666,0.6042103784702724
7145,0.1125,0.6325937500000001,0.822816528129141,0.1111111111111111,499.849825,0.5360523038940568
21285,0.696225,0.23845312500000002,0.9629201301048066,0.7777777777777778,489.3169024390244,0.522669957624851
12839,0.625,0.809375,0.9879412119021804,1.0,424.5944052863436,0.43353664816565907
16004,0.8151875000000001,0.330634375,0.7730032526201662,0.5555555555555556,357.1104642857143,0.3248344097326031
8106,0.3625,0.434375,0.8155402963498374,0.0,332.9397666666667,0.2808354925576971
8763,0.625,0.465625,0.9116251054089869,0.6666666666666666,293.8321470588235,0.2024125846896815
8856,0.6125,0.4210625,0.9325864353692326,0.1111111111111111,250.099825,0.10132233089307661
18779,0.3327375,0.58884375,0.9113359836164318,0.8888888888888888,194.41372222222222,-0.056545202762247795
6324,0.125,0.5625,0.906143838091796,0.8888888888888888,193.72761111111112,-0.0587597587989016
1297,0.4375,0.375,0.6023370678231538,0.8888888888888888,166.57483333333334,-0.15331200146015628
13024,0.625,0.9375,0.62643055053608,1.0,137.44493392070484,-0.2735440216007604
12648,0.6125,0.9375,0.62643055053608,1.0,136.34361233480178,-0.2785727012765182
11008,0.125,0.9375,0.62643055053608,1.0,135.94713656387665,-0.28039290304577097
12016,0.375,0.9375,0.62643055053608,1.0,135.5066079295154,-0.2824215402292197
11640,0.3625,0.9375,0.62643055053608,1.0,135.37444933920705,-0.2830314081362049
10632,0.1125,0.9375,0.62643055053608,1.0,132.8193832599119,-0.2949398074311842
13656,0.8625,0.9375,0.62643055053608,1.0,130.92511013215858,-0.30391614998689115
14032,0.875,0.9375,0.62643055053608,1.0,129.73568281938327,-0.30961857210126653
13021,0.625,0.9375,0.6508384531984098,1.0,111.76211453744493,-0.40273871401024175
12647,0.6125,0.9375,0.6508384531984098,1.0,111.1453744493392,-0.4061918452775135
12013,0.375,0.9375,0.6508384531984098,1.0,109.38325991189427,-0.416163587583125
11639,0.3625,0.9375,0.6508384531984098,1.0,108.98678414096916,-0.41842916183373174
11005,0.125,0.9375,0.6508384531984098,1.0,108.81057268722466,-0.4194387064087685
13024,0.625,0.9375,0.62643055053608,0.5555555555555556,107.85714285714286,-0.4249293159152355
12294,0.375,0.8634375000000001,0.9629442235875195,0.3333333333333333,107.57692307692308,-0.4265521913228542
11008,0.125,0.9375,0.62643055053608,0.5555555555555556,107.14285714285714,-0.4290743445652725
12648,0.6125,0.9375,0.62643055053608,0.5555555555555556,106.78571428571429,-0.43115713699694996
12016,0.375,0.9375,0.62643055053608,0.5555555555555556,106.78571428571429,-0.43115713699694996
12648,0.6125,0.9375,0.62643055053608,0.2222222222222222,106.45161290322581,-0.43311181294413026
13024,0.625,0.9375,0.62643055053608,0.2222222222222222,106.45161290322581,-0.43311181294413026
11640,0.3625,0.9375,0.62643055053608,0.5555555555555556,106.42857142857143,-0.4332468421277622
13655,0.8625,0.9375,0.6508384531984098,1.0,105.1101321585903,-0.44102188486236477
10631,0.1125,0.9375,0.6508384531984098,1.0,105.06607929515418,-0.44128333639753264
12215,0.375,0.865875,0.9729671123960967,0.3333333333333333,105.01923076923077,-0.44156149922152294
10628,0.1125,0.934375,0.62643055053608,1.0,104.97797356828194,-0.44180656539506286
13656,0.8625,0.9375,0.62643055053608,0.5555555555555556,104.28571428571429,-0.44593285041650155
10632,0.1125,0.9375,0.62643055053608,0.5555555555555556,103.92857142857143,-0.44807225980737786
12294,0.375,0.8634375000000001,0.9629442235875195,0.5555555555555556,103.64285714285714,-0.4497890368163277
14032,0.875,0.9375,0.62643055053608,0.5555555555555556,103.57142857142857,-0.4502189634823629
14029,0.875,0.9375,0.6508384531984098,1.0,103.25991189427313,-0.4520974136802434
10632,0.1125,0.9375,0.62643055053608,0.2222222222222222,103.2258064516129,-0.45230341078756325
12016,0.375,0.9375,0.62643055053608,0.2222222222222222,103.2258064516129,-0.45230341078756325
13656,0.8625,0.9375,0.62643055053608,0.2222222222222222,103.2258064516129,-0.45230341078756325
11640,0.3625,0.9375,0.62643055053608,0.2222222222222222,103.2258064516129,-0.45230341078756325
11008,0.125,0.9375,0.62643055053608,0.2222222222222222,103.2258064516129,-0.45230341078756325
14032,0.875,0.9375,0.62643055053608,0.2222222222222222,103.2258064516129,-0.45230341078756325
12215,0.375,0.865875,0.9729671123960967,0.5555555555555556,100.72857142857143,-0.46757286139810145
14033,0.875,0.934375,0.62643055053608,1.0,100.48458149779735,-0.4690847995848179
11009,0.125,0.934375,0.62643055053608,1.0,99.8237885462555,-0.47319787651856343
11636,0.3625,0.934375,0.62643055053608,1.0,98.63436123348018,-0.4806698104646321
13652,0.8625,0.934375,0.62643055053608,1.0,97.79735682819383,-0.48598150344536456
12017,0.375,0.934375,0.62643055053608,1.0,97.7533039647577,-0.48626231139665377
12644,0.6125,0.934375,0.62643055053608,1.0,94.00881057268722,-0.5106007108168917
