node_id,x_n,y_n,z_n,t_n,rel_strength,s_norm
6958,0.1125,0.625,0.62643055053608,0.5555555555555556,36589.02341463414,3.237925650345965
4092,0.375,0.059375,0.6508384531984098,0.3333333333333333,11389.771818181816,2.5031678454598367
18014,0.582775,0.0942875,0.9224189856643776,0.0,8861.518101265821,2.345148572898686
8288,0.6125,0.50559375,0.8852547885796891,0.5555555555555556,8536.950365853656,2.3216571935816104
2946,0.125,0.246875,0.8186844958438743,0.4444444444444444,5994.799299999999,2.099107853969326
20127,0.375,0.58375,0.9201421515480062,0.3333333333333333,5681.249204545454,2.065289318722181
9497,0.875,0.4375,0.8461510661366101,0.5555555555555556,4879.7552439024375,1.96955622729049
18223,0.39878749999999996,0.40406250000000005,0.9174677749668713,0.5555555555555556,4877.316219512194,1.9692415094288365
8949,0.6125,0.621875,0.8320322852668354,0.5555555555555556,3658.901585365853,1.7883092947843398
9246,0.6125,0.5690625,0.8742561137212383,0.3333333333333333,3408.9764772727267,1.743775191759706
16950,0.5887374999999999,0.3821875,0.8710516805204191,0.2222222222222222,2586.9415643180346,1.570097086018789
16119,0.144875,0.63196875,0.8246837730393927,0.2222222222222222,2585.5194570135745,1.5697510024377028
17665,0.6724875,0.61503125,0.8702565955908925,0.0,2531.5181012658227,1.5564664723796995
16910,0.4699375,0.3775,0.8449343452596073,1.0,2530.6320253164554,1.5562461401045404
19977,0.8032250000000001,0.26735000000000003,0.9264305505360798,0.5555555555555556,2436.218658536585,1.5323160931706223
18730,0.8387625,0.279128125,0.9196482351523912,0.5555555555555556,2422.8040243902433,1.5288410034216013
22489,0.31513749999999996,0.22125625,0.9889410914347668,0.3333333333333333,2274.771931818181,1.4891625588875712
20815,0.5828625,0.43571875000000004,0.9646066738947114,0.1111111111111111,2221.8881111111104,1.4743587526256676
21998,0.15475,0.47240624999999997,0.9818817009998795,0.6666666666666666,2000.1992999999995,1.4082096697204407
11183,0.125,0.6546875,0.62643055053608,0.6666666666666666,2000.1992999999995,1.4082096697204407
21902,0.5414375,0.15407500000000002,0.9910131309480784,0.7777777777777778,1999.1992999999995,1.4078949659610838
11526,0.3625,0.778125,0.8699915672810504,0.5555555555555556,1219.877195121951,1.0970621781666317
15517,0.6724249999999999,0.35253125,0.784965666787134,0.3333333333333333,1136.7037499999997,1.0526371446480727
1224,0.5625,0.296875,0.6023370678231538,0.3333333333333333,1133.3514772727272,1.0507791925488998
18928,0.6844,0.5908125,0.9078303818817011,0.1111111111111111,1111.088111111111,1.038298920796443
9524,0.875,0.48278125000000005,0.8773762197325623,0.2222222222222222,1033.9229476405947,0.9930208577704995
4822,0.625,0.08848125,0.8046500421635947,0.6666666666666666,1002.4992999999998,0.9736070560705947
19839,0.3625,0.26811250000000003,0.9252258764004336,0.7777777777777778,1000.2992999999998,0.9722251903535141
