Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
20805,-929040000.0,-7229279000.0,-9549050000.0,-67503242000.0,-487351200000.0,-72352744000.0,-17148278000.0,-17338260000.0,-17278266000.0,-17418253000.0,-5850417800.0,-7502251300.0,-5850417900.0,-14328568000.0,-45145472000.0,-15168479000.0,-5482453100.0,-5736427800.0,-5473454100.0,-510483400.0,-985903800.0,-9535049200.0,-901912400.0,-8091192000.0,-4176581900.0,-8473156700.0,-2749732800.0,-2696738100.0,-2735734400.0,-2768731200.0,-3726373400.0,-218024160.0,-4524453100.0,-89138911000.0,-48744879000.0,-90299028000.0,-286284300.0,-201020000.0,-3437343800.0,-6707670800.0
20806,-97540241000.0,-72332759000.0,-99440050000.0,-673632620000.0,-926307290000.0,-675232440000.0,-16678324000.0,-10708920000.0,-18118180000.0,-25577434000.0,-9234078200.0,-426565800.0,-9729028800.0,-18608138000.0,-32006790000.0,-19018099000.0,-19709000.0,-1699837000.0,-3319676000.0,-4919515000.0,-1998797900.0,-1830813900.0,-2209776800.0,-66423355000.0,-6853114000.0,-66123380000.0,-1648827200.0,-1345857400.0,-1752816800.0,-2136778400.0,-1918192400.0,-5648567200.0,-2330233700.0,-44704469000.0,-56085616000.0,-44784484000.0,-7230729300.0,-6249631700.0,-7523758400.0,-8715877400.0
20807,-87111295000.0,-83521648000.0,-88501155000.0,-556544330000.0,-806619230000.0,-559543940000.0,-91420779000.0,-88611059000.0,-92010719000.0,-95760345000.0,-1917808000.0,-6832315400.0,-2443755600.0,-22487747000.0,-68023171000.0,-23097664000.0,-6214358000.0,-4950484000.0,-6458333700.0,-790182500.0,-150716020.0,-571357940.0,-26003810.0,-60013999000.0,-19008096000.0,-60253974000.0,-24726750.0,-695871910.0,-115113730.0,-2385.0,-873129300.0,-8207184600.0,-8358169100.0,-37533751000.0,-90038999000.0,-38313830000.0,-4218584300.0,-9243082000.0,-3834622800.0,-8495156600.0
20808,-18118189000.0,-1378587000.0,-18128189000.0,-79092070000.0,-13498640000.0,-80191990000.0,-19888052000.0,-18508190000.0,-20018038000.0,-21697870000.0,-1924807200.0,-957905200.0,-2057794300.0,-8700130400.0,-14408573000.0,-8539164700.0,-3142702300.0,-3565660200.0,-3190697500.0,-2819734600.0,-3671630300.0,-5972400300.0,-3722625000.0,-9468050900.0,-573956330.0,-9425055800.0,-1717824400.0,-1970798900.0,-1712824900.0,-1462849800.0,-6001402100.0,-1594843200.0,-5631439000.0,-5004981000.0,-13691373000.0,-50365036000.0,-203797200.0,-4040599100.0,-1823820500.0,-9633039600.0
20809,-11998786000.0,-12488740000.0,-12108776000.0,-43295649000.0,-442255810000.0,-45785478000.0,-11198901000.0,-9729047000.0,-11268893000.0,-13068715000.0,-5724574900.0,-7302731700.0,-5785581000.0,-1461450000.0,-44734463000.0,-14061395000.0,-399387300.0,-3867382200.0,-3899385500.0,-400388400.0,-2089210400.0,-95094500.0,-2039205500.0,-6227620800.0,-848683880.0,-598599700.0,-2605266100.0,-224227700.0,-2584264200.0,-2958301600.0,-4088411000.0,-171419210.0,-4885490500.0,-84718474000.0,-40694055000.0,-86088591000.0,-2946276500.0,-525034400.0,-3550336700.0,-6597641400.0
20810,-96430346000.0,-74312560000.0,-98280161000.0,-647335230000.0,-885311500000.0,-651434900000.0,-14278610000.0,-7939244000.0,-15718466000.0,-23537685000.0,-8647867000.0,-3581360000.0,-9152917500.0,-15201521000.0,-25282517000.0,-15651558000.0,-2440240000.0,-1100106000.0,-2780273000.0,-4440440000.0,-1229122300.0,-980097300.0,-1414140600.0,-67076709000.0,-71557147000.0,-67356726000.0,-1510141000.0,-1314121200.0,-1618151800.0,-1893179200.0,-1857187400.0,-5382539700.0,-2227224200.0,-44794479000.0,-5745668000.0,-45424527000.0,-7363724300.0,-6225610100.0,-7657753900.0,-9007888900.0
20811,-61203876000.0,-62113785000.0,-6053893000.0,-89960999000.0,-23977598000.0,-89671010000.0,-5973954000.0,-6013915000.0,-60173961000.0,-59684010000.0,-46975301000.0,-4795190000.0,-455300000.0,-12798718000.0,-9614039500.0,-1258728000.0,-46155381000.0,-46535343000.0,-46145382000.0,-45765420000.0,-279970900.0,-1448854300.0,-306968200.0,-3150683900.0,-192181700.0,-3090690200.0,-9397058300.0,-9681029900.0,-9392058800.0,-9104087600.0,-913908360.0,-734426340.0,-953704380.0,458.0,-41039490.0,1239.0,-33764000.0,-519546440.0,-350763350.0,-183180110.0
20812,-5989397000.0,-7839214000.0,-5899407000.0,-14298568000.0,-31896831000.0,-13698640000.0,-4379570000.0,-5189489000.0,-4289579000.0,-3399667000.0,-11528845000.0,-12468752000.0,-11578840000.0,-6914307100.0,-3207684100.0,-6775325500.0,-10908910000.0,-1118872000.0,-10908911000.0,-10528949000.0,-6973302000.0,-8874112100.0,-7061293300.0,-2411758000.0,-38037400.0,-2405759600.0,-5587440500.0,-6009398300.0,-5597439600.0,-5193479900.0,-783221440.0,-756024310.0,-825417260.0,-1933192900.0,-5635564300.0,-1953196600.0,-174283390.0,-483252470.0,-172183610.0,-867014110.0
20813,-68613138000.0,-76172385000.0,-6763185000.0,-45185482000.0,-65743416000.0,-44425594000.0,-60873958000.0,-61983848000.0,-6013981000.0,-59334112000.0,-54894511000.0,-59724028000.0,-54734526000.0,-918992890.0,-59565969000.0,-283141640.0,-50674943000.0,-51604851000.0,-50574953000.0,-49545056000.0,-9575042700.0,-1614839100.0,-9590041300.0,-5038503400.0,-6674669400.0,-5119514700.0,-819180600.0,-890109600.0,-8199182400.0,-745254600.0,-3189680500.0,-4154584200.0,-3239675600.0,66.0,-1548155700.0,-4270.0,-2726730900.0,-3154688200.0,-2724731200.0,-2300773500.0
20814,-54424552000.0,-56054390000.0,-54204574000.0,-33766618000.0,-15308470000.0,-32886694000.0,-52344747000.0,-52744707000.0,-52204762000.0,-51664816000.0,249.0,348.0,241.0,453.0,1129.0,1982.0,2282.0,2207.0,2293.0,2337.0,6.0,22.0,0.0,156.0,540.0,513.0,475.0,470.0,464.0,473.0,-591407000.0,-6136386300.0,-5946405200.0,-292270580.0,-85014690.0,-290670100.0,-5806418400.0,-5886410400.0,-5810418000.0,-5737425300.0
20815,-56464346000.0,-59923996000.0,-56124378000.0,-52084782000.0,-58404150000.0,-52104745000.0,-53964547000.0,-55184424000.0,-53724572000.0,-52304713000.0,-51745173000.0,-55765576000.0,-51625161000.0,-554044940.0,-53014707000.0,-972113230.0,-48384847000.0,-49334942000.0,-48284837000.0,-47244733000.0,-8266826600.0,-9868987100.0,-8293829300.0,-2660733800.0,-1237878100.0,-2702733500.0,-7268731400.0,-7829787500.0,-7247729300.0,-6680672700.0,-2845716000.0,-3713628800.0,-2901710300.0,-772.0,-4875485400.0,-1630.0,-2712731100.0,-3122690100.0,-269731500.0,-2303772000.0
20816,-98130180000.0,-97900202000.0,-98180175000.0,-21887803000.0,-50974876000.0,-2127800000.0,-99490017000.0,-339930000.0,-99380027000.0,-98470118000.0,-9860985000.0,-10691069000.0,-9950994000.0,-7944793900.0,-6742680800.0,-8114817500.0,-9650970000.0,-9920998000.0,-9640969000.0,-9370943000.0,-6557655200.0,-8448844600.0,-6655665000.0,-3147314600.0,-467754820.0,-3266328200.0,-5230524400.0,-559557800.0,-5238525200.0,-4927494100.0,-654434620.0,-588241000.0,-701829870.0,-1234123400.0,-4155413500.0,-1170115500.0,-126885940.0,-39059350.0,-12186250.0,-86212260.0
20817,-55364457000.0,-56134382000.0,-5484459000.0,-89321062000.0,-28117190000.0,-8791150000.0,-54064577000.0,-54224560000.0,-53974586000.0,-5324609000.0,-4584570000.0,-46984697000.0,-45754574000.0,-11971196000.0,-9310931200.0,-11851188000.0,-44654468000.0,-44904492000.0,-44644466000.0,-44394442000.0,-98008700.0,-1586157600.0,-18013200.0,-2450244300.0,-400741300.0,-2490249700.0,-8918891500.0,-9110910700.0,-8912890900.0,-8722871900.0,-77322070.0,169830.0,-825817520.0,-224.0,-414041620.0,-100.0,-67393310.0,-191380920.0,-73192720.0,-959504100.0
20818,-3925997000.0,-36646325000.0,-39626018000.0,-25587427000.0,-39096117000.0,-187609000.0,-41485837000.0,-42345751000.0,-41425843000.0,-40515933000.0,-68726873000.0,-7077061000.0,-68656867000.0,-6907691800.0,-800765760.0,-6235621600.0,-66256627000.0,-66436646000.0,-66236626000.0,-66026605000.0,-1932193300.0,-2095209000.0,-1842184300.0,-654065600.0,-9852011600.0,-30029000.0,-170166700.0,-1911191500.0,-165161700.0,-1318132100.0,-93890710.0,-593840450.0,-214678610.0,-10938905000.0,-14798515000.0,-1128859000.0,-860114120.0,-743125840.0,-947505400.0,-136586510.0
20819,-38396149000.0,-39926000000.0,-38106178000.0,-40515940000.0,-8231768000.0,-3846117000.0,-36356347000.0,-37486233000.0,-36186364000.0,-34886494000.0,-20602061000.0,-21582158000.0,-20632064000.0,-9188919500.0,-8785873200.0,-8974898300.0,-20042007000.0,-20572060000.0,-20022005000.0,-19491952000.0,-406040200.0,-9184917800.0,-340033600.0,-8047804300.0,-499492100.0,-7963795200.0,-1188117500.0,-872085900.0,-1175116100.0,-1469145500.0,-354964200.0,-885411380.0,-326966900.0,-470547020.0,-3504352500.0,-575458590.0,-875912900.0,-1026897700.0,-860914300.0,-696930700.0
20820,-41085887000.0,-43345661000.0,-40835912000.0,-8941028000.0,-59204079000.0,-88891099000.0,-39136072000.0,-39865999000.0,-38926094000.0,-38006185000.0,-25252524000.0,-27192718000.0,-25232522000.0,-2621261900.0,-40507930.0,-2560260300.0,-23892393000.0,-2452445000.0,-23842387000.0,-23282331000.0,-1926192000.0,-1486148100.0,-1862185600.0,-856853900.0,-5171517900.0,-847845800.0,-2162216200.0,-208205300.0,-2135213500.0,-2214221400.0,-628837100.0,-538546210.0,-59639480.0,-901409800.0,-257974700.0,-847915350.0,-57142250.0,-510849160.0,-573742880.0,-634136850.0
20821,-60223973000.0,-61683827000.0,-59924004000.0,-5169478000.0,-56464338000.0,-439501000.0,-59204058000.0,-59903987000.0,-59004078000.0,-58124166000.0,-14583320.0,-69828440.0,-164482310.0,-615537590.0,-426659590.0,-63535110.0,-671630630.0,-783819510.0,-700427700.0,-610536610.0,-757075270.0,-641763820.0,-746374220.0,-5973596900.0,-3135313800.0,-5995599000.0,-726371600.0,-591958170.0,-725471500.0,-860284970.0,-121687480.0,-583441250.0,-113088340.0,-786521140.0,-41195780.0,-793220320.0,-71926700.0,-747224450.0,-713927740.0,-678531260.0
20822,-67903205000.0,-69383057000.0,-67623232000.0,-12128782000.0,-59524040000.0,-11438837000.0,-67163262000.0,-68393139000.0,-66993279000.0,-65603418000.0,-34266572000.0,-36016398000.0,-34216578000.0,-2384760600.0,-2351759600.0,-2359758000.0,-32936700000.0,-33256668000.0,-3276706000.0,-32506744000.0,-924907300.0,-264731100.0,-916908100.0,-5841415800.0,-2656733600.0,-5826416800.0,-9435055700.0,-9608038500.0,-9405058700.0,-9201079200.0,-496549900.0,-616561640.0,-466946950.0,-895589720.0,2015.0,-772976470.0,-127512180.0,-58805330.0,-125511980.0,-193818820.0
20823,-79222072000.0,-8231712000.0,-78732120000.0,-60243971000.0,-96420361000.0,-58254167000.0,-75482441000.0,-77032286000.0,-75172473000.0,-73312658000.0,-27697229000.0,-29807018000.0,-27637236000.0,-2466752500.0,-948047000.0,-2103787500.0,-25847413000.0,-26277370000.0,-25777420000.0,-25267471000.0,-7308269600.0,-9247075400.0,-730266800.0,-1402859900.0,-7526244700.0,-1418857700.0,-5579442500.0,-5641436400.0,-553443900.0,-5485452000.0,-2111788900.0,-3732626900.0,-2076792400.0,-1855185500.0,-3929393000.0,-1873187600.0,-767923400.0,-970903100.0,-725927600.0,-484951700.0
