Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
15632,58370000000.0,1680000000.0,1700000000.0,1550000000.0,1270000000.0,1580000000.0,-1590000000.0,-1810000000.0,-2070000000.0,53040000000.0,371000000.0,427000000.0,-9568000000.0,427000000.0,437000000.0,443000000.0,-387000000.0,-440000000.0,-511000000.0,511000000.0,-6162000000.0,-7684000000.0,631000000.0,-2595000000.0,-1360000000.0,647000000.0,-580000000.0,42010000000.0,-750000000.0,707000000.0,-742300000.0,300200000.0,305400000.0,-301700000.0,-311000000.0,685000000.0,-276000000.0,-29220000000.0,4467000000.0,-662600000.0
15633,1480000000.0,1750000000.0,1680000000.0,710000000.0,-640000000.0,710000000.0,-2040000000.0,-2300000000.0,-2660000000.0,1940000000.0,114000000.0,147000000.0,151000000.0,1450000000.0,15524.0,160000000.0,-123000000.0,-159000000.0,-182000000.0,203000000.0,157000000.0,-1828000000.0,205000000.0,199000000.0,206000000.0,216000000.0,-185000000.0,-226000000.0,-257000000.0,-1161000000.0,399700000.0,-652000000.0,345700000.0,-653000000.0,-657000000.0,-657000000.0,-60000000.0,-640000000.0,-740000000.0,-688000000.0
15634,-2210000000.0,-1380000000.0,-2860000000.0,-6550000000.0,50310000000.0,68120000000.0,-6700000000.0,-7600000000.0,-8600000000.0,20050000000.0,-2884000000.0,461000000.0,464000000.0,449000000.0,459700000.0,473000000.0,-6593000000.0,-410000000.0,-504000000.0,554000000.0,923000000.0,1050000000.0,1063000000.0,-4995000000.0,-1073000000.0,-1086000000.0,27660000000.0,-1100000000.0,-1250000000.0,1162000000.0,-3080000000.0,-687600000.0,-3504000000.0,-3480000000.0,-3550000000.0,-3570000000.0,-3180000000.0,-3500000000.0,-4090000000.0,-3770000000.0
15635,-2580000000.0,-2050000000.0,-3220000000.0,-6580000000.0,-7100000000.0,7090000000.0,-6800000000.0,-7800000000.0,-8600000000.0,-4100000000.0,356000000.0,418000000.0,428000000.0,424000000.0,434000000.0,444000000.0,-464000000.0,-590000000.0,-589000000.0,281000000.0,931000000.0,7159000000.0,1072000000.0,-1064000000.0,-1086000000.0,4771000000.0,-990000000.0,-1130000000.0,-1260000000.0,1036000000.0,-3142000000.0,-534400000.0,6430000000.0,-3540000000.0,-3600000000.0,-3630000000.0,-3240000000.0,-3700000000.0,-4120000000.0,6533000000.0
15636,53450000000.0,1580000000.0,1540000000.0,680000000.0,-570000000.0,680000000.0,-2180000000.0,-2620000000.0,-2730000000.0,1130000000.0,100000000.0,4748000000.0,137000000.0,135000000.0,-14245.0,148000000.0,-152000000.0,-211000000.0,-202000000.0,88000000.0,161000000.0,202000000.0,209000000.0,204000000.0,7475000000.0,220000000.0,-192000000.0,-242000000.0,-265000000.0,208000000.0,391600000.0,338700000.0,336900000.0,-662000000.0,-668000000.0,-667000000.0,55850000000.0,-87190000000.0,-730000000.0,-681000000.0
15637,1420000000.0,1620000000.0,78850000000.0,30780000000.0,1333000000.0,1570000000.0,61080000000.0,-1980000000.0,-2100000000.0,1460000000.0,-4261000000.0,418000000.0,426000000.0,424000000.0,433000000.0,-156000000.0,7098000000.0,-500000000.0,-531000000.0,376000000.0,572000000.0,645000000.0,653000000.0,647000000.0,658000000.0,8468000000.0,-590000000.0,-670000000.0,-760000000.0,-9360000000.0,262800000.0,-59600000.0,311000000.0,-306800000.0,-4069000000.0,-319800000.0,-285000000.0,-340000000.0,-370000000.0,300300000.0
15638,410000000.0,480000000.0,2900000000.0,-82000000000.0,410000000.0,-81720000000.0,-360000000.0,-770000000.0,-470000000.0,560000000.0,313000000.0,-9645000000.0,360000000.0,356000000.0,361000000.0,365000000.0,-33000000.0,-370000000.0,-421000000.0,365000000.0,294000000.0,336000000.0,341000000.0,338000000.0,344000000.0,347000000.0,-295000000.0,-5910000000.0,-384000000.0,376000000.0,-39000000.0,-41000000.0,-41000000.0,-40000000.0,-39000000.0,-39000000.0,-39000000.0,-43000000.0,-46000000.0,-25000000.0
15639,230000000.0,-6210000000.0,270000000.0,260000000.0,260000000.0,260000000.0,77040000000.0,-490000000.0,-220000000.0,460000000.0,-963000000.0,338000000.0,34000000.0,336000000.0,337000000.0,34000000.0,-302000000.0,-320000000.0,5676000000.0,-930000000.0,81000000.0,97000000.0,100000000.0,100000000.0,-2333000000.0,106000000.0,70000000.0,873400000.0,99000000.0,-6162000000.0,37000000.0,42000000.0,609000000.0,41600000.0,42300000.0,42200000.0,-3558.0,-36700000.0,-4552.0,49000000.0
15640,2750000000.0,660000000.0,660000000.0,660000000.0,-73310000000.0,670000000.0,129000000.0,-620000000.0,149000000.0,-99150000000.0,148000000.0,166000000.0,166000000.0,165000000.0,166000000.0,167000000.0,-142300000.0,-4748000000.0,-182400000.0,197000000.0,-18000000.0,-18000000.0,-18000000.0,3601000000.0,-16000000.0,-18000000.0,-27000000.0,-38000000.0,-31000000.0,-2964000000.0,72000000.0,80000000.0,4510000000.0,81000000.0,83000000.0,82000000.0,-131200000.0,-78000000.0,-91900000.0,91000000.0
15641,41480000000.0,37860000000.0,-3490000000.0,-5590000000.0,-6080000000.0,94210000000.0,-5700000000.0,-858800000000.0,-7300000000.0,-4370000000.0,131000000.0,6375000000.0,133000000.0,119000000.0,106000000.0,113000000.0,110000000.0,-49296897.0,118000000.0,125000000.0,-412000000.0,-471000000.0,-483000000.0,-487000000.0,-502000000.0,-506000000.0,-470000000.0,-560000000.0,-610000000.0,-6571000000.0,-480400000.0,195200000.0,-2836000000.0,-2811000000.0,-2880000000.0,-7256000000.0,-2550000000.0,-2900000000.0,-3300000000.0,6930000000.0
